data,stock0,stock1,stock2,stock3,tweet0,tweet1,tweet2,tweet3
2015/12/23,43.44,43.54,43.37,42.74,0.38064363782858623,0.45156030155066351,0.4040730683369928,0.45139867110387849
2015/12/24,43.9,43.44,43.54,43.37,0.3934260533531479,0.38064363782858623,0.45156030155066351,0.4040730683369928
2015/12/28,43.82,43.9,43.44,43.54,0.30564301415816381,0.3934260533531479,0.38064363782858623,0.45156030155066351
2015/12/29,44.34,43.82,43.9,43.44,0.27348956493070409,0.30564301415816381,0.3934260533531479,0.38064363782858623
2015/12/30,43.35,44.34,43.82,43.9,0.33651058159162239,0.27348956493070409,0.30564301415816381,0.3934260533531479
2015/12/31,43.06,43.35,44.34,43.82,0.4037129013079046,0.33651058159162239,0.27348956493070409,0.30564301415816381
2016/01/04,41.96,43.06,43.35,44.34,0.37092540560808551,0.4037129013079046,0.33651058159162239,0.27348956493070409
2016/01/05,42.46,41.96,43.06,43.35,0.36419377424885224,0.37092540560808551,0.4037129013079046,0.33651058159162239
2016/01/06,42.85,42.46,41.96,43.06,0.37958880323569916,0.36419377424885224,0.37092540560808551,0.4037129013079046
2016/01/07,41.95,42.85,42.46,41.96,0.43473884445603256,0.37958880323569916,0.36419377424885224,0.37092540560808551
2016/01/08,42.21,41.95,42.85,42.46,0.43118761401959182,0.43473884445603256,0.37958880323569916,0.36419377424885224
2016/01/11,42.04,42.21,41.95,42.85,0.43487199536626558,0.43118761401959182,0.43473884445603256,0.37958880323569916
2016/01/12,42.68,42.04,42.21,41.95,0.40619322719273376,0.43487199536626558,0.43118761401959182,0.43473884445603256
2016/01/13,40.4,42.68,42.04,42.21,0.43016662410363088,0.40619322719273376,0.43487199536626558,0.43118761401959182
2016/01/14,40.47,40.4,42.68,42.04,0.41378901552884845,0.43016662410363088,0.40619322719273376,0.43487199536626558
2016/01/15,39.77,40.47,40.4,42.68,0.44237478219422488,0.41378901552884845,0.43016662410363088,0.40619322719273376
2016/01/19,39.6,39.77,40.47,40.4,0.41294326663166037,0.44237478219422488,0.41378901552884845,0.43016662410363088
2016/01/20,39.3,39.6,39.77,40.47,0.44951894530425623,0.41294326663166037,0.44237478219422488,0.41378901552884845
2016/01/21,39.5,39.3,39.6,39.77,0.41857712926979834,0.44951894530425623,0.41294326663166037,0.44237478219422488
2016/01/22,39.0,39.5,39.3,39.6,0.40453848248459318,0.41857712926979834,0.44951894530425623,0.41294326663166037
2016/01/25,38.2,39.0,39.5,39.3,0.40003675097560659,0.40453848248459318,0.41857712926979834,0.44951894530425623
2016/01/26,38.37,38.2,39.0,39.5,0.40297259221268067,0.40003675097560659,0.40453848248459318,0.41857712926979834
2016/01/27,37.29,38.37,38.2,39.0,0.42883692445766247,0.40297259221268067,0.40003675097560659,0.40453848248459318
2016/01/28,36.19,37.29,38.37,38.2,0.43143418901008745,0.42883692445766247,0.40297259221268067,0.40003675097560659
2016/01/29,37.62,36.19,37.29,38.37,0.4650353240870177,0.43143418901008745,0.42883692445766247,0.40297259221268067
2016/02/01,38.31,37.62,36.19,37.29,0.43707147006178793,0.4650353240870177,0.43143418901008745,0.42883692445766247
2016/02/02,36.47,38.31,37.62,36.19,0.46048130418795363,0.43707147006178793,0.4650353240870177,0.43143418901008745
2016/02/03,36.84,36.47,38.31,37.62,0.45620460691564968,0.46048130418795363,0.43707147006178793,0.4650353240870177
2016/02/04,37.55,36.84,36.47,38.31,0.45864286777142804,0.45620460691564968,0.46048130418795363,0.43707147006178793
2016/02/05,35.69,37.55,36.84,36.47,0.45096781536419034,0.45864286777142804,0.45620460691564968,0.46048130418795363
2016/02/08,34.72,35.69,37.55,36.84,0.47688765147105627,0.45096781536419034,0.45864286777142804,0.45620460691564968
2016/02/09,35.25,34.72,35.69,37.55,0.49391772397451217,0.47688765147105627,0.45096781536419034,0.45864286777142804
2016/02/10,35.54,35.25,34.72,35.69,0.45113156404088067,0.49391772397451217,0.47688765147105627,0.45096781536419034
2016/02/11,35.34,35.54,35.25,34.72,0.45998469664654573,0.45113156404088067,0.49391772397451217,0.47688765147105627
2016/02/12,36.24,35.34,35.54,35.25,0.42399981452661556,0.45998469664654573,0.45113156404088067,0.49391772397451217
2016/02/16,37.08,36.24,35.34,35.54,0.42170040627100014,0.42399981452661556,0.45998469664654573,0.45113156404088067
2016/02/17,38.51,37.08,36.24,35.34,0.4119367108925242,0.42170040627100014,0.42399981452661556,0.45998469664654573
2016/02/18,39.0,38.51,37.08,36.24,0.49501324010189313,0.4119367108925242,0.42170040627100014,0.42399981452661556
2016/02/19,39.31,39.0,38.51,37.08,0.4459911125437766,0.49501324010189313,0.4119367108925242,0.42170040627100014
2016/02/22,40.82,39.31,39.0,38.51,0.52006847664419731,0.4459911125437766,0.49501324010189313,0.4119367108925242
2016/02/23,41.08,40.82,39.31,39.0,0.48303529977778065,0.52006847664419731,0.4459911125437766,0.49501324010189313
2016/02/24,41.36,41.08,40.82,39.31,0.37229496357087666,0.48303529977778065,0.52006847664419731,0.4459911125437766
2016/02/25,42.59,41.36,41.08,40.82,0.41726512677883187,0.37229496357087666,0.48303529977778065,0.52006847664419731
2016/02/26,42.17,42.59,41.36,41.08,0.43651471860429353,0.41726512677883187,0.37229496357087666,0.48303529977778065
2016/02/29,41.95,42.17,42.59,41.36,0.4387971291575547,0.43651471860429353,0.41726512677883187,0.37229496357087666
