https://www.google.com/finance/getprices?i=301&p=100d&f=d,o,h,l,c,v&df=cpct&q=AAL

EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=301
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1472650200,36.74,36.98,36.73,36.97,61988
a1472650500,36.45,36.98,36.34,36.94,185502
a1472650800,36.59,36.6534,36.41,36.46,154021
a1472651100,36.48,36.71,36.46,36.61,134068
a1472651400,36.36,36.52,36.2533,36.495,240095
a1472651700,36.315,36.41,36.3,36.37,145487
a1472652000,36.4,36.43,36.32,36.32,162720
a1472652300,36.45,36.45,36.33,36.4,239385
a1472652600,36.4588,36.51,36.42,36.45,295449
a1472652900,36.36,36.48,36.285,36.455,226644
a1472653200,36.385,36.42,36.36,36.36,92143
a1472653500,36.44,36.46,36.38,36.39,117749
a1472653800,36.5,36.54,36.41,36.44,221460
a1472654100,36.41,36.51,36.41,36.49,174581
a1472654400,36.37,36.415,36.35,36.4,98309
a1472654700,36.35,36.37,36.29,36.37,117855
a1472655000,36.345,36.405,36.3175,36.3175,199975
a1472655300,36.29,36.36,36.26,36.36,112788
a1472655600,36.18,36.31,36.17,36.3,343163
a1472655900,36.065,36.2,36.04,36.18,190600
a1472656200,36.015,36.09,35.97,36.065,243486
a1472656500,35.89,36.04,35.89,36.015,137073
a1472656800,35.85,35.97,35.83,35.895,188793
a1472657100,35.8501,35.8996,35.8401,35.8401,117746
a1472657400,36.05,36.05,35.851,35.851,110122
a1472657700,36,36.12,36,36.05,107588
a1472658000,35.91,36,35.83,36,108600
a1472658300,35.89,35.92,35.85,35.92,59397
a1472658600,35.7899,35.91,35.76,35.89,136874
a1472658900,35.82,35.87,35.78,35.78,75578
a1472659200,35.79,35.84,35.77,35.81,102751
a1472659500,35.65,35.79,35.6341,35.785,108147
a1472659800,35.655,35.69,35.64,35.64,78866
a1472660100,35.645,35.71,35.64,35.66,60550
a1472660400,35.68,35.7,35.63,35.641,96121
a1472660700,35.78,35.79,35.68,35.685,73094
a1472661000,35.75,35.785,35.745,35.77,44216
a1472661300,35.745,35.76,35.72,35.75,56413
a1472661600,35.9,35.9,35.74,35.75,124340
a1472661900,35.86,35.92,35.82,35.91,102948
a1472662200,35.8556,35.865,35.83,35.86,44381
a1472662500,35.86,35.87,35.83,35.86,58215
a1472662800,35.875,35.9,35.86,35.865,29917
a1472663100,35.8948,35.915,35.87,35.88,31292
a1472663400,35.835,35.91,35.825,35.895,58337
a1472663700,35.835,35.85,35.805,35.83,29190
a1472664000,35.82,35.845,35.77,35.84,59727
a1472664300,35.81,35.83,35.79,35.83,39722
a1472664600,35.83,35.83,35.79,35.805,33104
a1472664900,35.74,35.84,35.74,35.84,90032
a1472665200,35.76,35.78,35.745,35.75,31480
a1472665500,35.82,35.8599,35.76,35.77,87710
a1472665800,35.76,35.82,35.76,35.82,23868
a1472666100,35.78,35.8,35.76,35.765,32484
a1472666400,35.705,35.79,35.7,35.79,77525
a1472666700,35.74,35.76,35.7,35.7,54253
a1472667000,35.83,35.86,35.74,35.75,106916
a1472667300,35.88,35.9,35.85,35.86,36861
a1472667600,35.865,35.8995,35.81,35.88,64407
a1472667900,35.87,35.88,35.85,35.87,38826
a1472668200,35.92,35.94,35.87,35.87,132807
a1472668500,35.91,35.93,35.87,35.91,54349
a1472668800,35.93,35.941,35.905,35.91,41373
a1472669100,35.91,35.94,35.9,35.93,62250
a1472669400,35.92,35.94,35.89,35.91,222126
a1472669700,35.94,35.94,35.91,35.93,60570
a1472670000,35.91,35.942,35.9,35.935,57076
a1472670300,35.965,35.97,35.9,35.91,313293
a1472670600,36.02,36.02,35.96,35.965,83881
a1472670900,36,36.05,35.99,36.01,147296
a1472671200,36.02,36.09,36.005,36.01,114898
a1472671500,35.98,36.05,35.98,36.021,118075
a1472671800,36.035,36.05,35.96,35.98,124333
a1472672100,36.14,36.1491,36.01,36.04,202167
a1472672400,36.15,36.175,36.12,36.121,137817
a1472672700,36.2533,36.29,36.155,36.16,181108
a1472673000,36.255,36.26,36.2,36.22,110663
a1472673300,36.305,36.305,36.245,36.2525,293970
a1472673600,36.3,36.34,36.27,36.3,2400103
a1472736600,36.5,36.53,36.45,36.53,62573
a1472736900,36.4599,36.65,36.28,36.53,95749
a1472737200,36.62,36.64,36.45,36.46,141215
a1472737500,36.6626,36.6701,36.58,36.6,87511
a1472737800,36.675,36.71,36.65,36.66,171002
a1472738100,36.52,36.69,36.431,36.69,206829
a1472738400,36.52,36.6,36.48,36.52,57311
a1472738700,36.53,36.53,36.38,36.5,45251
a1472739000,36.38,36.54,36.35,36.53,71968
a1472739300,36.37,36.3715,36.2869,36.37,58775
a1472739600,36.37,36.39,36.31,36.37,80694
a1472739900,36.34,36.4,36.23,36.36,114654
a1472740200,36.18,36.37,36.18,36.345,113780
a1472740500,36.03,36.189,35.99,36.18,112541
a1472740800,36.05,36.12,36,36.02,124860
a1472741100,36.09,36.13,36,36.04,54380
a1472741400,36.1,36.12,36.06,36.0946,55099
a1472741700,36.12,36.12,36.09,36.09,97162
a1472742000,36.04,36.16,36.04,36.13,55233
a1472742300,36,36.04,35.88,36.04,74857
a1472742600,36.055,36.11,35.99,35.99,42971
a1472742900,36.0548,36.1,36,36.055,44416
a1472743200,36.08,36.08,35.995,36.05,64381
a1472743500,36.15,36.17,36.0575,36.075,85134
a1472743800,36.25,36.2605,36.16,36.16,125860
a1472744100,36.26,36.27,36.19,36.25,65485
a1472744400,36.22,36.28,36.21,36.26,57288
a1472744700,36.19,36.22,36.17,36.21,68727
a1472745000,36.18,36.23,36.18,36.19,28515
a1472745300,36.195,36.2,36.15,36.17,24770
a1472745600,36.211,36.26,36.19,36.19,65584
a1472745900,36.25,36.26,36.2101,36.22,72016
a1472746200,36.2,36.255,36.2,36.24,38164
a1472746500,36.24,36.24,36.161,36.19,30972
a1472746800,36.26,36.28,36.235,36.235,46736
a1472747100,36.41,36.41,36.24,36.25,60640
a1472747400,36.39,36.4367,36.37,36.41,38574
a1472747700,36.43,36.47,36.38,36.4,31208
a1472748000,36.37,36.441,36.37,36.43,38187
a1472748300,36.345,36.38,36.32,36.38,23720
a1472748600,36.37,36.39,36.33,36.34,28932
a1472748900,36.36,36.43,36.36,36.37,38515
a1472749200,36.34,36.36,36.33,36.35,28506
a1472749500,36.3,36.3301,36.3,36.33,26770
a1472749800,36.24,36.32,36.24,36.3,116794
a1472750100,36.2102,36.25,36.2,36.24,96494
a1472750400,36.2601,36.27,36.21,36.21,53755
a1472750700,36.3,36.34,36.26,36.265,50864
a1472751000,36.295,36.295,36.26,36.29,58795
a1472751300,36.29,36.35,36.29,36.295,57887
a1472751600,36.24,36.33,36.24,36.29,89201
a1472751900,36.3,36.3137,36.23,36.24,162648
a1472752200,36.31,36.32,36.28,36.3,40662
a1472752500,36.28,36.33,36.28,36.3,24094
a1472752800,36.26,36.31,36.26,36.28,70698
a1472753100,36.29,36.29,36.19,36.26,87186
a1472753400,36.3,36.3093,36.24,36.28,44926
