https://www.google.com/finance/getprices?i=301&p=100d&f=d,o,h,l,c,v&df=cpct&q=DAL

EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=301
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1472650200,37.03,37.32,37.03,37.32,98465
a1472650500,36.92,37.13,36.81,37.02,194876
a1472650800,37.005,37.045,36.84,36.91,235892
a1472651100,37.08,37.15,37.005,37.005,217901
a1472651400,37.1,37.12,37,37.1,136395
a1472651700,37.02,37.14,37.01,37.1,93323
a1472652000,37.09,37.09,37.025,37.03,112828
a1472652300,36.98,37.09,36.96,37.09,229910
a1472652600,36.97,37.045,36.955,37,171336
a1472652900,36.9265,37,36.87,36.98,250903
a1472653200,36.87,36.95,36.84,36.94,176726
a1472653500,36.841,36.885,36.82,36.88,286392
a1472653800,36.83,36.87,36.82,36.84,106899
a1472654100,36.815,36.87,36.795,36.83,284134
a1472654400,36.84,36.86,36.76,36.81,147212
a1472654700,36.76,36.83,36.73,36.83,126082
a1472655000,36.8,36.83,36.75,36.77,78949
a1472655300,36.71,36.8,36.71,36.8,163758
a1472655600,36.6,36.7192,36.6,36.715,198265
a1472655900,36.47,36.645,36.46,36.605,220018
a1472656200,36.345,36.5,36.34,36.48,524577
a1472656500,36.26,36.4052,36.25,36.35,390159
a1472656800,36.25,36.38,36.24,36.27,250342
a1472657100,36.21,36.32,36.2,36.24,274530
a1472657400,36.27,36.3,36.2175,36.22,225058
a1472657700,36.21,36.34,36.21,36.265,264408
a1472658000,36.09,36.23,36.04,36.2,265334
a1472658300,36.055,36.139,36.04,36.1,212153
a1472658600,36.04,36.085,36.02,36.06,118250
a1472658900,36.095,36.115,36.0475,36.05,98265
a1472659200,36.121,36.13,36.06,36.095,137445
a1472659500,36.06,36.15,36.06,36.13,220016
a1472659800,36.11,36.11,36.02,36.05,158946
a1472660100,36.085,36.13,36.06,36.1,130153
a1472660400,36.0725,36.1,36.03,36.09,234010
a1472660700,36.1799,36.1799,36.0775,36.08,71427
a1472661000,36.235,36.235,36.165,36.17,192207
a1472661300,36.22,36.25,36.21,36.23,119856
a1472661600,36.34,36.35,36.225,36.23,149117
a1472661900,36.29,36.35,36.29,36.34,113596
a1472662200,36.335,36.3365,36.271,36.295,69002
a1472662500,36.33,36.3364,36.31,36.335,59022
a1472662800,36.37,36.39,36.31,36.33,142903
a1472663100,36.385,36.39,36.37,36.378,43481
a1472663400,36.36,36.41,36.36,36.385,85821
a1472663700,36.36,36.375,36.3,36.36,78390
a1472664000,36.3199,36.36,36.26,36.36,63955
a1472664300,36.31,36.325,36.2818,36.325,49939
a1472664600,36.37,36.37,36.29,36.315,158825
a1472664900,36.365,36.365,36.33,36.365,67840
a1472665200,36.369,36.39,36.36,36.37,42573
a1472665500,36.4,36.4,36.36,36.365,78575
a1472665800,36.345,36.4,36.335,36.3999,39672
a1472666100,36.385,36.42,36.34,36.345,53096
a1472666400,36.385,36.39,36.37,36.385,48731
a1472666700,36.42,36.42,36.38,36.385,51402
a1472667000,36.49,36.52,36.419,36.42,114111
a1472667300,36.52,36.53,36.47,36.5,98972
a1472667600,36.499,36.53,36.46,36.53,63363
a1472667900,36.5,36.5,36.47,36.495,51409
a1472668200,36.49,36.52,36.49,36.51,25599
a1472668500,36.505,36.52,36.48,36.49,68926
