https://www.google.com/finance/getprices?i=301&p=100d&f=d,o,h,l,c,v&df=cpct&q=LUV

EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=301
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1472650200,37.25,37.25,37.2,37.2,42381
a1472650500,37.38,37.47,37.07,37.2,140352
a1472650800,37.5105,37.54,37.33,37.39,104446
a1472651100,37.45,37.62,37.35,37.53,136558
a1472651400,37.35,37.4994,37.325,37.49,121965
a1472651700,37.2599,37.393,37.2346,37.36,221871
a1472652000,37.31,37.32,37.165,37.26,98766
a1472652300,37.21,37.3126,37.19,37.3126,54553
a1472652600,37.15,37.26,37.125,37.2144,143560
a1472652900,37.13,37.155,37.025,37.15,140861
a1472653200,37.08,37.145,37.07,37.13,79737
a1472653500,37.12,37.14,37.07,37.08,37271
a1472653800,37.085,37.1372,37.08,37.13,43642
a1472654100,37.03,37.11,37.03,37.07,45680
a1472654400,37.0435,37.055,36.97,37.025,40650
a1472654700,37,37.05,36.93,37.05,55692
a1472655000,36.965,37.015,36.95,37,70409
a1472655300,36.92,36.9766,36.88,36.97,83442
a1472655600,36.84,36.95,36.84,36.91,64913
a1472655900,36.8,36.9,36.79,36.83,50208
a1472656200,36.755,36.81,36.705,36.81,74340
a1472656500,36.6899,36.79,36.6899,36.76,40631
a1472656800,36.71,36.755,36.685,36.69,45185
a1472657100,36.74,36.76,36.71,36.71,47591
a1472657400,36.82,36.84,36.75,36.75,88230
a1472657700,36.77,36.84,36.7675,36.82,37862
a1472658000,36.715,36.77,36.67,36.77,62210
a1472658300,36.695,36.73,36.67,36.715,48678
a1472658600,36.66,36.7,36.65,36.695,42617
a1472658900,36.68,36.69,36.65,36.66,43198
a1472659200,36.635,36.69,36.62,36.68,95523
a1472659500,36.52,36.635,36.51,36.63,89257
a1472659800,36.525,36.545,36.51,36.51,56196
a1472660100,36.5,36.54,36.5,36.53,39010
a1472660400,36.49,36.51,36.46,36.51,103847
a1472660700,36.51,36.53,36.49,36.5,32310
a1472661000,36.51,36.52,36.495,36.515,43998
a1472661300,36.4764,36.51,36.45,36.505,53392
a1472661600,36.5449,36.56,36.47,36.48,53304
a1472661900,36.51,36.5682,36.5,36.55,39127
a1472662200,36.5252,36.53,36.5,36.51,38886
a1472662500,36.525,36.55,36.52,36.53,29380
a1472662800,36.515,36.54,36.5,36.53,40476
a1472663100,36.495,36.53,36.49,36.52,26210
a1472663400,36.48,36.51,36.48,36.5,81803
a1472663700,36.46,36.495,36.46,36.48,61342
a1472664000,36.415,36.4767,36.4,36.465,75883
a1472664300,36.415,36.43,36.41,36.42,25277
a1472664600,36.46,36.47,36.41,36.42,73467
a1472664900,36.43,36.47,36.43,36.47,54780
a1472665200,36.43,36.46,36.43,36.435,28087
a1472665500,36.5,36.5,36.43,36.435,60621
a1472665800,36.48,36.505,36.47,36.4999,44171
a1472666100,36.5,36.505,36.4701,36.48,39545
a1472666400,36.5,36.5,36.49,36.5,47405
a1472666700,36.53,36.54,36.49,36.5,45415
a1472667000,36.57,36.6,36.5266,36.53,82412
a1472667300,36.6399,36.6399,36.5786,36.5786,33511
a1472667600,36.56,36.64,36.56,36.64,58313
a1472667900,36.555,36.575,36.55,36.57,32859
a1472668200,36.54,36.56,36.52,36.56,54979
a1472668500,36.575,36.6,36.535,36.535,44637
