https://www.google.com/finance/getprices?i=301&p=100d&f=d,o,h,l,c,v&df=cpct&q=UAL

EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=301
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1472650200,50.79,50.79,50.79,50.79,29901
a1472650500,50.6501,50.8,50.35,50.8,70285
a1472650800,50.91,50.96,50.59,50.68,100946
a1472651100,50.66,51,50.55,50.93,106479
a1472651400,50.525,50.67,50.455,50.67,96190
a1472651700,50.48,50.63,50.45,50.54,106627
a1472652000,50.33,50.5,50.24,50.49,113084
a1472652300,50.22,50.3995,50.175,50.33,103960
a1472652600,50.135,50.34,50.09,50.23,118962
a1472652900,50.0701,50.21,50,50.14,116992
a1472653200,50.15,50.2,50.03,50.0782,91036
a1472653500,50.285,50.3075,50.14,50.14,72755
a1472653800,50.2,50.31,50.13,50.28,45093
a1472654100,50.08,50.25,50.08,50.18,36278
a1472654400,50.08,50.13,50.01,50.08,34959
a1472654700,50.035,50.09,50.01,50.09,49234
a1472655000,50.08,50.12,50.01,50.05,40498
a1472655300,50.09,50.15,50.06,50.09,62791
a1472655600,49.95,50.0901,49.94,50.09,90528
a1472655900,49.87,50.02,49.86,49.95,111248
a1472656200,49.69,49.87,49.68,49.8699,66091
a1472656500,49.62,49.72,49.611,49.68,60777
a1472656800,49.64,49.75,49.62,49.62,64864
a1472657100,49.66,49.69,49.61,49.64,35890
a1472657400,49.91,49.95,49.6675,49.67,102123
a1472657700,49.88,49.96,49.86,49.92,84456
a1472658000,49.78,49.87,49.72,49.87,55407
a1472658300,49.75,49.8,49.72,49.79,40527
a1472658600,49.64,49.76,49.62,49.75,36618
a1472658900,49.71,49.745,49.62,49.6434,59523
a1472659200,49.7075,49.72,49.65,49.71,34744
a1472659500,49.49,49.7,49.49,49.7,71792
a1472659800,49.4955,49.5375,49.47,49.48,85062
a1472660100,49.4,49.53,49.39,49.49,78252
a1472660400,49.43,49.44,49.35,49.4,42864
a1472660700,49.53,49.533,49.4303,49.435,31859
a1472661000,49.5384,49.55,49.5,49.53,50450
a1472661300,49.525,49.5464,49.46,49.5464,33983
a1472661600,49.84,49.84,49.53,49.53,64635
a1472661900,49.84,49.84,49.81,49.84,40516
a1472662200,49.91,49.93,49.82,49.83,42227
a1472662500,49.94,49.95,49.87,49.91,31064
a1472662800,49.959,49.97,49.88,49.94,43420
a1472663100,49.9,49.96,49.88,49.96,27361
a1472663400,49.83,49.91,49.83,49.895,46512
a1472663700,49.78,49.84,49.77,49.83,22871
a1472664000,49.82,49.82,49.7,49.78,25263
a1472664300,49.74,49.82,49.71,49.82,28993
a1472664600,49.85,49.85,49.72,49.75,36707
a1472664900,49.8264,49.89,49.81,49.87,22714
a1472665200,49.85,49.87,49.83,49.83,15194
a1472665500,49.93,49.96,49.845,49.85,20012
a1472665800,49.87,49.93,49.86,49.92,12696
a1472666100,49.9362,49.945,49.87,49.87,24653
a1472666400,49.88,49.965,49.88,49.93,32304
a1472666700,49.9,49.91,49.86,49.88,19310
a1472667000,50.0745,50.11,49.88,49.88,69812
a1472667300,50.21,50.22,50.08,50.08,34919
a1472667600,50.16,50.23,50.07,50.22,36649
a1472667900,50.16,50.2,50.14,50.16,26164
a1472668200,50.18,50.2,50.15,50.17,22803
a1472668500,50.12,50.21,50.105,50.18,26718
