https://www.google.com/finance/getprices?i=301&p=100d&f=d,o,h,l,c,v&df=cpct&q=VA

EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=301
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1472650200,55.89,55.89,55.89,55.89,2098
a1472650500,55.91,55.91,55.9,55.9,613
a1472650800,55.88,55.91,55.87,55.9,5999
a1472651100,55.9,55.92,55.9,55.9,8000
a1472651400,55.92,55.92,55.91,55.91,2460
a1472651700,55.93,55.93,55.91,55.91,1183
a1472652000,55.93,55.93,55.9,55.92,7487
a1472652300,55.9201,55.93,55.92,55.93,3400
a1472652600,55.89,55.93,55.89,55.92,2002
a1472652900,55.89,55.9,55.89,55.89,600
a1472653200,55.88,55.91,55.88,55.9,1600
a1472653500,55.89,55.9,55.88,55.9,800
a1472653800,55.87,55.88,55.87,55.88,600
a1472654100,55.85,55.88,55.85,55.86,2295
a1472654400,55.86,55.88,55.85,55.85,1300
a1472654700,55.85,55.87,55.85,55.86,1100
a1472655000,55.85,55.855,55.85,55.85,1200
a1472655300,55.85,55.86,55.85,55.85,1700
a1472655600,55.85,55.86,55.85,55.85,1600
a1472655900,55.795,55.85,55.79,55.85,3500
a1472656200,55.805,55.82,55.79,55.8,4300
a1472656500,55.78,55.82,55.78,55.79,2300
a1472656800,55.755,55.77,55.75,55.77,4400
a1472657100,55.76,55.76,55.75,55.75,2200
a1472657400,55.77,55.79,55.72,55.76,42003
a1472657700,55.72,55.765,55.72,55.765,4571
a1472658000,55.7,55.705,55.7,55.705,1500
a1472658300,55.705,55.71,55.7,55.7,2600
a1472658600,55.705,55.71,55.7,55.71,1872
a1472658900,55.69,55.71,55.69,55.7,26400
a1472659200,55.66,55.7,55.66,55.69,5500
a1472659500,55.6,55.66,55.59,55.66,5700
a1472659800,55.63,55.63,55.58,55.6,28587
a1472660100,55.54,55.6,55.54,55.6,5600
a1472660400,55.53,55.53,55.51,55.52,3404
a1472660700,55.54,55.5401,55.5,55.54,15534
a1472661000,55.57,55.57,55.53,55.54,1300
a1472661300,55.56,55.6,55.56,55.58,7846
a1472661600,55.57,55.58,55.57,55.58,350
a1472661900,55.5802,55.585,55.57,55.58,2900
a1472662200,55.59,55.59,55.59,55.59,100
a1472662500,55.58,55.59,55.58,55.58,1208
a1472662800,55.55,55.57,55.55,55.57,2600
a1472663100,55.55,55.56,55.55,55.55,8981
a1472663400,55.55,55.56,55.55,55.56,9604
a1472663700,55.5201,55.55,55.51,55.55,16973
a1472664000,55.51,55.52,55.5,55.52,11500
a1472664300,55.51,55.515,55.51,55.51,900
a1472664600,55.5,55.51,55.5,55.51,1100
a1472664900,55.5,55.51,55.5,55.5,10102
a1472665200,55.51,55.51,55.5,55.505,1100
a1472665500,55.535,55.54,55.51,55.51,5300
a1472665800,55.54,55.54,55.53,55.54,1100
a1472666100,55.53,55.54,55.53,55.54,300
a1472666400,55.525,55.54,55.52,55.54,4441
a1472666700,55.54,55.54,55.525,55.53,1200
a1472667000,55.58,55.58,55.54,55.54,2600
a1472667300,55.58,55.5893,55.57,55.58,495
a1472667600,55.65,55.69,55.59,55.59,5475
a1472667900,55.64,55.64,55.63,55.64,1399
a1472668200,55.6478,55.6478,55.6478,55.6478,1000
a1472668500,55.7,55.7,55.67,55.67,7100
a1472668800,55.7,55.7,55.69,55.7,8000
a1472669100,55.66,55.7,55.66,55.7,6199
a1472669400,55.67,55.67,55.66,55.66,3300
a1472669700,55.67,55.67,55.67,55.67,1400
a1472670000,55.67,55.67,55.66,55.66,2800
a1472670300,55.66,55.67,55.66,55.67,2900
a1472670600,55.66,55.66,55.66,55.66,300
a1472670900,55.68,55.68,55.665,55.67,6249
a1472671200,55.7,55.7,55.68,55.68,7600
a1472671500,55.8,55.8,55.71,55.71,6401
a1472671800,55.82,55.84,55.8,55.8,15555
a1472672100,55.8,55.83,55.8,55.82,3900
a1472672400,55.79,55.8,55.77,55.77,11566
a1472672700,55.79,55.8,55.77,55.79,23450
a1472673000,55.78,55.79,55.77,55.79,9050
a1472673300,55.76,55.79,55.75,55.78,42723
a1472673600,55.69,55.77,55.68,55.77,48809
a1472736600,55.6,55.6,55.6,55.6,2887
a1472736900,55.6499,55.7,55.6499,55.68,600
a1472737200,55.65,55.67,55.65,55.67,3631
a1472737500,55.65,55.65,55.65,55.65,1698
a1472737800,55.62,55.66,55.62,55.65,300
a1472738100,55.6,55.65,55.6,55.62,858
a1472738400,55.63,55.66,55.6228,55.6299,1037
a1472738700,55.6,55.62,55.6,55.62,4405
a1472739000,55.61,55.62,55.6,55.6,1200
a1472739300,55.6,55.62,55.6,55.62,1162
a1472739600,55.6,55.61,55.6,55.61,1291
a1472739900,55.61,55.61,55.6,55.6,1000
a1472740200,55.6,55.63,55.6,55.63,784
a1472740500,55.59,55.62,55.59,55.61,17055
a1472740800,55.61,55.62,55.58,55.6,50100
a1472741100,55.67,55.68,55.62,55.65,1100
a1472741400,55.66,55.69,55.63,55.68,3430
a1472741700,55.68,55.69,55.68,55.69,500
a1472742000,55.66,55.68,55.66,55.68,400
a1472742300,55.65,55.66,55.6,55.66,4800
a1472742600,55.652,55.68,55.64,55.64,503
a1472742900,55.67,55.68,55.65,55.65,2723
a1472743200,55.68,55.68,55.6575,55.66,2400
a1472743500,55.66,55.68,55.66,55.68,4400
a1472743800,55.67,55.67,55.66,55.67,5100
a1472744100,55.6598,55.67,55.655,55.67,1200
a1472744400,55.63,55.65,55.63,55.65,200
a1472744700,55.61,55.62,55.61,55.62,800
a1472745000,55.61,55.615,55.6,55.61,2400
a1472745300,55.62,55.62,55.6,55.6,17500
a1472745600,55.62,55.63,55.62,55.62,2700
a1472745900,55.625,55.625,55.62,55.62,902
a1472746200,55.66,55.66,55.62,55.62,2600
a1472746500,55.72,55.72,55.65,55.66,13349
a1472746800,55.73,55.74,55.7,55.71,5400
a1472747100,55.7,55.72,55.69,55.72,3613
a1472747400,55.685,55.7,55.68,55.7,11800
a1472747700,55.68,55.685,55.675,55.685,1000
a1472748000,55.685,55.685,55.67,55.67,700
a1472748300,55.68,55.69,55.6792,55.68,550
a1472748600,55.68,55.68,55.675,55.675,300
a1472748900,55.67,55.68,55.67,55.68,1100
a1472749200,55.65,55.66,55.65,55.66,200
a1472749500,55.65,55.65,55.65,55.65,655
a1472749800,55.65,55.65,55.65,55.65,500
a1472750100,55.66,55.66,55.65,55.65,1500
a1472750400,55.67,55.67,55.67,55.67,100
a1472750700,55.66,55.6704,55.66,55.67,1800
a1472751000,55.66,55.66,55.66,55.66,100
a1472751300,55.67,55.68,55.665,55.665,4399
a1472751600,55.67,55.68,55.67,55.67,1849
a1472751900,55.66,55.67,55.66,55.67,1200
a1472752200,55.65,55.65,55.65,55.65,1015
a1472752500,55.65,55.66,55.65,55.65,900
a1472752800,55.67,55.67,55.65,55.65,1300
a1472753100,55.66,55.665,55.66,55.66,600
a1472753400,55.66,55.665,55.66,55.665,300
a1472753700,55.6636,55.6636,55.66,55.66,483
a1472754000,55.66,55.67,55.66,55.66,612
