https://www.google.com/finance/getprices?i=119&p=100d&f=d,o,h,l,c,v&df=cpct&q=AAL

EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=119
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1475242200,35.98,35.98,35.98,35.98,30740
a1475242260,36,36.05,35.8601,35.99,33060
a1475242320,36.06,36.1015,35.98,36,17243
a1475242380,36.18,36.27,36.07,36.09,33320
a1475242440,36.24,36.26,36.18,36.18,7500
a1475242500,36.22,36.33,36.22,36.23,16313
a1475242560,36.2002,36.28,36.17,36.24,49561
a1475242620,36.13,36.21,36.1,36.19,28933
a1475242680,36.15,36.15,36.07,36.12,19651
a1475242740,36.14,36.22,36.13,36.16,11910
a1475242800,36.12,36.15,36.1,36.12,13000
a1475242860,36.03,36.11,36.0032,36.11,35345
a1475242920,36.03,36.04,36,36,6902
a1475242980,35.94,36.05,35.94,36.04,104407
a1475243040,35.98,35.98,35.92,35.94,43872
a1475243100,35.92,35.99,35.8907,35.97,79246
a1475243160,35.95,35.97,35.9,35.93,113227
a1475243220,35.95,35.95,35.89,35.94,38306
a1475243280,35.94,35.95,35.93,35.93,24318
a1475243340,36.04,36.04,35.94,35.94,5958
a1475243400,36.08,36.13,36.05,36.05,24690
a1475243460,36.12,36.12,36.08,36.09,22115
a1475243520,36.162,36.17,36.13,36.13,13401
a1475243580,36.1037,36.19,36.1,36.17,26163
a1475243640,36.09,36.12,36.08,36.11,13607
a1475243700,36.065,36.139,36.05,36.1,26163
a1475243760,36.08,36.085,36.05,36.07,18700
a1475243820,36.12,36.12,36.085,36.09,9200
a1475243880,36.09,36.14,36.09,36.115,59252
a1475243940,36.15,36.15,36.09,36.09,11070
a1475244000,36.2,36.2,36.14,36.16,11947
a1475244060,36.15,36.23,36.149,36.22,17615
a1475244120,36.15,36.19,36.14,36.16,13000
a1475244180,36.179,36.18,36.15,36.16,8800
a1475244240,36.2001,36.2001,36.17,36.18,7405
a1475244300,36.235,36.235,36.18,36.21,12309
a1475244360,36.26,36.28,36.24,36.2407,9838
a1475244420,36.25,36.29,36.25,36.265,7954
a1475244480,36.25,36.29,36.24,36.24,18102
a1475244540,36.28,36.29,36.26,36.26,8350
a1475244600,36.37,36.38,36.29,36.29,14914
a1475244660,36.309,36.39,36.309,36.37,29092
a1475244720,36.29,36.32,36.27,36.31,27227
a1475244780,36.33,36.33,36.28,36.29,21287
a1475244840,36.33,36.36,36.32,36.3299,15149
a1475244900,36.36,36.36,36.32,36.34,17131
a1475244960,36.3,36.37,36.3,36.365,28855
a1475245020,36.32,36.33,36.3,36.3,2959
a1475245080,36.32,36.35,36.32,36.33,4619
a1475245140,36.25,36.32,36.25,36.32,19054
a1475245200,36.23,36.24,36.18,36.24,10879
a1475245260,36.265,36.27,36.23,36.24,10148
a1475245320,36.25,36.3,36.24,36.27,12584
a1475245380,36.21,36.26,36.2,36.25,11703
a1475245440,36.28,36.28,36.21,36.21,10136
a1475245500,36.27,36.285,36.25,36.28,14394
a1475245560,36.28,36.28,36.23,36.26,15164
a1475245620,36.33,36.34,36.28,36.28,40414
a1475245680,36.37,36.37,36.32,36.32,10092
a1475245740,36.38,36.4,36.36,36.38,12800
a1475245800,36.42,36.45,36.38,36.38,43046
a1475245860,36.41,36.43,36.405,36.43,8892
a1475245920,36.4,36.41,36.39,36.4,14213
a1475245980,36.42,36.42,36.39,36.4,8920
a1475246040,36.45,36.45,36.41,36.415,10469
a1475246100,36.47,36.479,36.45,36.47,10875
a1475246160,36.49,36.5,36.47,36.475,15062
a1475246220,36.51,36.52,36.49,36.49,15153
a1475246280,36.55,36.55,36.51,36.51,5465
a1475246340,36.54,36.55,36.54,36.55,7448
a1475246400,36.52,36.535,36.495,36.53,17443
a1475246460,36.52,36.52,36.51,36.515,4700
a1475246520,36.5402,36.55,36.52,36.525,8700
a1475246580,36.63,36.63,36.54,36.545,40087
a1475246640,36.605,36.65,36.6,36.63,19966
a1475246700,36.57,36.601,36.56,36.601,6772
a1475246760,36.57,36.5782,36.55,36.57,14828
a1475246820,36.5192,36.57,36.5,36.57,10950
a1475246880,36.4799,36.52,36.45,36.52,14394
a1475246940,36.47,36.49,36.46,36.475,9408
a1475247000,36.46,36.47,36.45,36.47,6402
a1475247060,36.4665,36.48,36.46,36.47,8057
a1475247120,36.46,36.47,36.46,36.47,3688
a1475247180,36.471,36.48,36.46,36.465,13300
a1475247240,36.481,36.5,36.47,36.47,19993
a1475247300,36.5,36.5,36.48,36.48,3625
a1475247360,36.53,36.53,36.49,36.49,15424
a1475247420,36.56,36.57,36.54,36.54,9300
a1475247480,36.52,36.56,36.51,36.56,10341
a1475247540,36.508,36.55,36.5,36.53,14672
a1475247600,36.56,36.56,36.5,36.5,35327
a1475247660,36.5346,36.565,36.51,36.56,64301
a1475247720,36.54,36.55,36.5301,36.54,11958
a1475247780,36.56,36.56,36.53,36.54,5995
a1475247840,36.59,36.59,36.55,36.56,16834
a1475247900,36.63,36.63,36.58,36.59,22128
a1475247960,36.62,36.64,36.61,36.64,11300
a1475248020,36.66,36.67,36.62,36.62,11395
a1475248080,36.705,36.72,36.655,36.6601,31956
a1475248140,36.725,36.73,36.695,36.701,11676
a1475248200,36.74,36.74,36.71,36.72,17134
a1475248260,36.78,36.79,36.75,36.75,27257
a1475248320,36.78,36.8,36.77,36.78,11569
a1475248380,36.78,36.816,36.78,36.79,29484
a1475248440,36.75,36.78,36.74,36.78,13892
a1475248500,36.81,36.82,36.74,36.74,27399
a1475248560,36.76,36.81,36.76,36.81,8539
a1475248620,36.77,36.7967,36.76,36.76,15631
a1475248680,36.7299,36.76,36.7201,36.76,5726
a1475248740,36.71,36.745,36.69,36.729,22628
a1475248800,36.73,36.74,36.71,36.72,24604
a1475248860,36.7333,36.76,36.73,36.74,20417
a1475248920,36.75,36.75,36.7105,36.73,13286
a1475248980,36.73,36.75,36.73,36.74,3900
a1475249040,36.76,36.76,36.73,36.73,4305
a1475249100,36.745,36.77,36.74,36.77,13200
a1475249160,36.7532,36.76,36.74,36.74,6480
a1475249220,36.775,36.78,36.76,36.76,4200
a1475249280,36.79,36.8,36.775,36.78,7665
a1475249340,36.83,36.83,36.79,36.79,10519
a1475249400,36.8134,36.845,36.8134,36.83,6625
a1475249460,36.8347,36.84,36.82,36.82,5840
a1475249520,36.84,36.85,36.83,36.8375,9195
a1475249580,36.84,36.849,36.83,36.83,7530
a1475249640,36.84,36.85,36.84,36.84,9069
a1475249700,36.82,36.84,36.81,36.835,4316
a1475249760,36.79,36.82,36.79,36.82,5770
a1475249820,36.8,36.8,36.78,36.78,4909
a1475249880,36.79,36.81,36.79,36.81,6431
a1475249940,36.775,36.8,36.77,36.8,5082
a1475250000,36.74,36.78,36.74,36.775,5801
a1475250060,36.735,36.7433,36.72,36.735,9915
a1475250120,36.699,36.74,36.69,36.73,6900
a1475250180,36.68,36.7,36.66,36.7,12472
a1475250240,36.71,36.72,36.69,36.69,12747
a1475250300,36.7045,36.725,36.7,36.71,7115
