https://www.google.com/finance/getprices?i=119&p=100d&f=d,o,h,l,c,v&df=cpct&q=AAPL

EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=119
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1475242200,112.54,112.65,112.45,112.46,561058
a1475242260,113.03,113.11,112.48,112.635,389212
a1475242320,112.84,113.036,112.77,113.03,239893
a1475242380,112.78,112.91,112.77,112.85,143715
a1475242440,112.83,112.94,112.78,112.78,115749
a1475242500,112.97,113,112.81,112.82,93886
a1475242560,112.8982,112.992,112.85,112.97,114895
a1475242620,112.96,112.96,112.83,112.895,108388
a1475242680,113.03,113.063,112.9099,112.96,164737
a1475242740,113.038,113.1,112.94,113.03,155814
a1475242800,112.91,113.05,112.9,113.03,88204
a1475242860,113.03,113.07,112.9,112.91,181717
a1475242920,113.152,113.17,112.99,113.029,163586
a1475242980,113.1,113.21,113,113.16,261187
a1475243040,113.1,113.125,113.05,113.08,61502
a1475243100,113.16,113.17,113.07,113.1,93444
a1475243160,113.11,113.23,113.1,113.17,153031
a1475243220,113.155,113.18,113.08,113.11,77851
a1475243280,112.985,113.155,112.93,113.155,145607
a1475243340,113.045,113.06,112.985,112.99,90124
a1475243400,113.015,113.04,112.97,113.04,89499
a1475243460,113.075,113.09,112.95,113,106939
a1475243520,113.06,113.1,112.98,113.08,114806
a1475243580,113.015,113.065,112.96,113.065,97027
a1475243640,113.07,113.07,113.01,113.015,82577
a1475243700,112.97,113.065,112.93,113.06,130993
a1475243760,112.92,112.9765,112.87,112.97,168890
a1475243820,112.9,112.95,112.85,112.9255,127689
a1475243880,112.816,112.9,112.81,112.9,127362
a1475243940,112.8535,112.86,112.76,112.81,156284
a1475244000,112.85,112.88,112.82,112.8552,89046
a1475244060,112.845,112.87,112.755,112.85,138593
a1475244120,112.876,112.8964,112.82,112.845,74105
a1475244180,112.84,112.9,112.83,112.87,91479
a1475244240,112.81,112.875,112.8,112.84,72553
a1475244300,112.78,112.82,112.66,112.82,145144
a1475244360,112.84,112.84,112.72,112.79,117168
a1475244420,112.88,112.91,112.84,112.8457,97242
a1475244480,112.86,112.905,112.84,112.88,62159
a1475244540,112.81,112.92,112.8,112.87,62158
a1475244600,112.78,112.825,112.77,112.815,99116
a1475244660,112.705,112.8,112.7,112.79,143074
a1475244720,112.59,112.72,112.59,112.7077,113377
a1475244780,112.5407,112.6,112.5,112.5948,196862
a1475244840,112.48,112.55,112.48,112.54,108629
a1475244900,112.5311,112.54,112.41,112.49,171082
a1475244960,112.475,112.58,112.46,112.54,104472
a1475245020,112.35,112.48,112.35,112.475,142635
a1475245080,112.2399,112.38,112.23,112.35,201709
a1475245140,112.13,112.26,112.13,112.2399,177592
a1475245200,112.06,112.15,112.03,112.12,212632
a1475245260,112.17,112.19,112.03,112.06,229683
a1475245320,112.1311,112.26,112.13,112.18,174348
a1475245380,111.825,112.14,111.82,112.1338,454236
a1475245440,111.8948,111.93,111.8,111.82,226389
a1475245500,112.0202,112.03,111.89,111.89,209550
a1475245560,112.029,112.05,111.98,112.025,77763
a1475245620,112.04,112.08,111.985,112.0211,132425
a1475245680,112.11,112.14,112,112.05,114952
a1475245740,112.24,112.24,112.11,112.11,156850
a1475245800,112.3,112.3,112.17,112.23,124868
a1475245860,112.32,112.37,112.27,112.295,142853
a1475245920,112.315,112.36,112.301,112.33,81076
a1475245980,112.27,112.315,112.25,112.315,68193
a1475246040,112.27,112.2775,112.2148,112.2749,85766
a1475246100,112.34,112.345,112.25,112.275,35832
a1475246160,112.34,112.369,112.29,112.35,82883
a1475246220,112.291,112.375,112.25,112.34,107676
a1475246280,112.1799,112.32,112.14,112.2946,89815
a1475246340,112.19,112.21,112.1199,112.17,88727
a1475246400,112.12,112.19,112.085,112.19,80497
a1475246460,112.14,112.2,112.12,112.12,67739
a1475246520,112.18,112.19,112.12,112.1301,39086
a1475246580,112.21,112.26,112.15,112.18,77213
a1475246640,112.24,112.28,112.205,112.205,65263
a1475246700,112.22,112.25,112.18,112.25,85773
a1475246760,112.3098,112.34,112.205,112.215,92339
a1475246820,112.25,112.31,112.25,112.3,63797
a1475246880,112.32,112.32,112.22,112.2466,71972
a1475246940,112.3335,112.34,112.285,112.314,73935
a1475247000,112.36,112.36,112.31,112.33,55641
a1475247060,112.4,112.4,112.34,112.36,40959
a1475247120,112.47,112.49,112.39,112.4,102233
a1475247180,112.49,112.5,112.4644,112.48,58996
a1475247240,112.485,112.51,112.47,112.5,63650
a1475247300,112.49,112.51,112.45,112.49,36240
a1475247360,112.5057,112.53,112.48,112.4945,45427
a1475247420,112.53,112.56,112.4801,112.5,60216
a1475247480,112.4859,112.53,112.42,112.5234,58315
a1475247540,112.4925,112.5286,112.48,112.49,68404
a1475247600,112.5465,112.58,112.49,112.49,61132
a1475247660,112.645,112.69,112.53,112.55,138822
a1475247720,112.62,112.78,112.6,112.65,183404
a1475247780,112.795,112.795,112.624,112.624,52055
a1475247840,112.79,112.81,112.72,112.79,107514
a1475247900,112.83,112.84,112.77,112.79,73547
a1475247960,112.85,112.87,112.8,112.8259,125402
a1475248020,112.7889,112.84,112.73,112.84,88863
a1475248080,112.7534,112.8199,112.751,112.78,65926
a1475248140,112.75,112.779,112.69,112.76,68794
a1475248200,112.78,112.79,112.69,112.7563,98689
a1475248260,112.76,112.9,112.72,112.78,183939
a1475248320,112.75,112.805,112.74,112.76,64537
a1475248380,112.69,112.801,112.67,112.75,76808
a1475248440,112.72,112.7445,112.69,112.6999,51772
a1475248500,112.77,112.77,112.7,112.72,47605
a1475248560,112.74,112.77,112.69,112.76,60076
a1475248620,112.66,112.7699,112.66,112.7401,99919
a1475248680,112.67,112.68,112.61,112.66,104948
a1475248740,112.7,112.73,112.67,112.67,64391
a1475248800,112.76,112.77,112.701,112.705,117044
a1475248860,112.77,112.775,112.69,112.76,66043
a1475248920,112.76,112.77,112.735,112.77,38317
a1475248980,112.73,112.77,112.72,112.76,31082
a1475249040,112.7636,112.8,112.7399,112.74,44596
a1475249100,112.69,112.8,112.66,112.77,79408
a1475249160,112.7241,112.74,112.68,112.7,32449
a1475249220,112.775,112.8,112.73,112.73,32947
a1475249280,112.7738,112.8,112.75,112.77,62577
a1475249340,112.7955,112.81,112.755,112.77,75119
a1475249400,112.8,112.83,112.77,112.8,77442
a1475249460,112.87,112.9,112.8,112.805,90088
a1475249520,112.8645,112.89,112.86,112.8699,63966
a1475249580,112.84,112.88,112.8238,112.88,40156
a1475249640,112.79,112.86,112.78,112.84,59746
a1475249700,112.79,112.82,112.77,112.79,48362
a1475249760,112.791,112.84,112.7864,112.79,81572
a1475249820,112.785,112.81,112.77,112.795,29559
a1475249880,112.75,112.81,112.75,112.79,71491
a1475249940,112.78,112.8,112.75,112.75,31081
a1475250000,112.73,112.83,112.73,112.78,70645
a1475250060,112.75,112.79,112.73,112.735,45657
a1475250120,112.7231,112.76,112.72,112.75,36330
a1475250180,112.755,112.78,112.73,112.73,50812
a1475250240,112.79,112.8,112.74,112.75,17855
