https://www.google.com/finance/getprices?i=119&p=100d&f=d,o,h,l,c,v&df=cpct&q=DAL

EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=119
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1475242200,39.2,39.2,39.15,39.15,33433
a1475242260,39.35,39.35,39.15,39.2,16556
a1475242320,39.34,39.44,39.33,39.35,10564
a1475242380,39.47,39.5,39.34,39.355,18457
a1475242440,39.47,39.53,39.44,39.47,24840
a1475242500,39.4499,39.54,39.43,39.48,8642
a1475242560,39.3511,39.48,39.33,39.45,152690
a1475242620,39.38,39.38,39.29,39.35,65329
a1475242680,39.38,39.4,39.34,39.37,43924
a1475242740,39.32,39.42,39.31,39.39,65073
a1475242800,39.37,39.42,39.32,39.32,29789
a1475242860,39.37,39.4,39.34,39.37,73940
a1475242920,39.34,39.38,39.33,39.38,8316
a1475242980,39.28,39.35,39.27,39.35,13636
a1475243040,39.27,39.3,39.26,39.29,13293
a1475243100,39.25,39.31,39.25,39.29,14209
a1475243160,39.29,39.32,39.26,39.26,22618
a1475243220,39.21,39.28,39.14,39.28,46494
a1475243280,39.185,39.22,39.16,39.21,28838
a1475243340,39.22,39.22,39.17,39.185,31082
a1475243400,39.17,39.225,39.17,39.22,26189
a1475243460,39.18,39.18,39.14,39.175,19309
a1475243520,39.135,39.2,39.13,39.19,63049
a1475243580,39.065,39.15,39.05,39.14,49559
a1475243640,39.01,39.065,39,39.06,41231
a1475243700,38.965,39.02,38.95,39.02,34481
a1475243760,39.03,39.04,38.95,38.97,20785
a1475243820,39.04,39.065,39.02,39.03,14779
a1475243880,38.95,39.04,38.94,39.04,15236
a1475243940,39.01,39.01,38.93,38.9452,17674
a1475244000,39,39.02,38.98,39.015,8022
a1475244060,39,39.03,38.9878,39.01,20230
a1475244120,39,39.01,38.98,38.99,25383
a1475244180,39,39,38.98,39,14033
a1475244240,39.0064,39.01,38.9844,39,7898
a1475244300,39.03,39.03,38.98,39.01,17619
a1475244360,39.035,39.06,39.025,39.03,14007
a1475244420,39.02,39.05,39.02,39.035,28305
a1475244480,39.02,39.03,39.01,39.01,11104
a1475244540,39.02,39.04,39.015,39.02,12802
a1475244600,39.08,39.08,39.03,39.03,27024
a1475244660,39.07,39.11,39.0667,39.09,19979
a1475244720,39.075,39.08,39.05,39.065,16503
a1475244780,39.08,39.09,39.05,39.08,18071
a1475244840,39.09,39.105,39.075,39.08,17849
a1475244900,39.095,39.095,39.07,39.09,29115
a1475244960,39.035,39.1,39.035,39.0933,30749
a1475245020,39.03,39.05,39.02,39.035,15407
a1475245080,39.02,39.06,39.02,39.03,19133
a1475245140,39.01,39.02,38.985,39.02,11305
a1475245200,38.9939,39,38.955,39,32049
a1475245260,39.04,39.05,39,39,12563
a1475245320,39.07,39.09,39.05,39.05,10901
a1475245380,39.015,39.07,39.01,39.07,9803
a1475245440,39.115,39.115,39.02,39.02,25289
a1475245500,39.13,39.135,39.11,39.12,14156
a1475245560,39.13,39.13,39.09,39.13,10057
a1475245620,39.16,39.18,39.125,39.13,25065
a1475245680,39.17,39.17,39.16,39.1656,6803
a1475245740,39.17,39.18,39.15,39.17,17662
a1475245800,39.2,39.22,39.18,39.18,30017
a1475245860,39.21,39.22,39.2,39.21,13504
a1475245920,39.215,39.23,39.215,39.22,17500
