https://www.google.com/finance/getprices?i=119&p=100d&f=d,o,h,l,c,v&df=cpct&q=LUV

EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=119
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1475242200,38.24,38.27,38.24,38.27,36384
a1475242260,38.38,38.4,38.25,38.26,34108
a1475242320,38.48,38.48,38.37,38.38,63891
a1475242380,38.52,38.5397,38.39,38.46,55728
a1475242440,38.43,38.5,38.43,38.5,13900
a1475242500,38.29,38.41,38.28,38.41,23203
a1475242560,38.22,38.31,38.22,38.3,12612
a1475242620,38.17,38.25,38.16,38.25,31335
a1475242680,38.22,38.22,38.16,38.17,68934
a1475242740,38.3,38.3,38.22,38.23,37324
a1475242800,38.33,38.35,38.28,38.3,81241
a1475242860,38.3525,38.38,38.31,38.325,34756
a1475242920,38.36,38.38,38.33,38.38,27824
a1475242980,38.31,38.36,38.31,38.35,13328
a1475243040,38.26,38.315,38.26,38.315,25766
a1475243100,38.27,38.27,38.22,38.26,16868
a1475243160,38.35,38.35,38.26,38.26,8150
a1475243220,38.3,38.34,38.29,38.33,20337
a1475243280,38.29,38.3,38.28,38.3,6800
a1475243340,38.315,38.32,38.26,38.285,16188
a1475243400,38.28,38.34,38.28,38.32,18499
a1475243460,38.27,38.3,38.26,38.28,25825
a1475243520,38.32,38.32,38.29,38.29,16436
a1475243580,38.28,38.32,38.28,38.32,18548
a1475243640,38.255,38.27,38.245,38.27,8553
a1475243700,38.18,38.26,38.18,38.26,23585
a1475243760,38.18,38.21,38.18,38.19,19600
a1475243820,38.23,38.23,38.19,38.19,12105
a1475243880,38.13,38.23,38.11,38.23,34933
a1475243940,38.11,38.12,38.07,38.12,19113
a1475244000,38.09,38.13,38.05,38.12,18210
a1475244060,38.06,38.13,38.06,38.1,18320
a1475244120,38.05,38.1,38.03,38.06,21054
a1475244180,38.09,38.09,38.04,38.04,15942
a1475244240,38.1,38.12,38.08,38.1,13778
a1475244300,38.15,38.15,38.08,38.095,18326
a1475244360,38.14,38.19,38.14,38.16,23657
a1475244420,38.16,38.185,38.145,38.15,14427
a1475244480,38.19,38.205,38.15,38.16,14922
a1475244540,38.215,38.23,38.2,38.2,14000
a1475244600,38.265,38.27,38.22,38.22,12660
a1475244660,38.25,38.29,38.24,38.27,11700
a1475244720,38.2643,38.28,38.24,38.25,12868
a1475244780,38.31,38.31,38.27,38.27,13365
a1475244840,38.31,38.315,38.285,38.31,18995
a1475244900,38.315,38.325,38.29,38.31,28365
a1475244960,38.27,38.32,38.27,38.32,21579
a1475245020,38.29,38.305,38.28,38.28,7684
a1475245080,38.29,38.325,38.285,38.3,16254
a1475245140,38.265,38.2891,38.265,38.2891,15171
a1475245200,38.3,38.3,38.24,38.26,9794
a1475245260,38.31,38.31,38.28,38.295,24102
a1475245320,38.305,38.32,38.305,38.31,7698
a1475245380,38.29,38.31,38.25,38.31,23714
a1475245440,38.34,38.34,38.27,38.29,13460
a1475245500,38.34,38.36,38.335,38.34,7507
a1475245560,38.33,38.33,38.3,38.33,7264
a1475245620,38.38,38.39,38.33,38.33,11063
a1475245680,38.38,38.395,38.38,38.39,7130
a1475245740,38.385,38.4,38.38,38.38,5400
a1475245800,38.43,38.44,38.39,38.39,10400
a1475245860,38.45,38.45,38.43,38.43,4317
