https://www.google.com/finance/getprices?i=119&p=100d&f=d,o,h,l,c,v&df=cpct&q=UAL

EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=119
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1475242200,51.39,51.39,51.39,51.39,13649
a1475242260,51.42,51.58,51.405,51.405,14193
a1475242320,51.75,51.76,51.43,51.43,24362
a1475242380,51.8,52,51.75,51.75,19987
a1475242440,51.79,51.87,51.79,51.8,5790
a1475242500,51.85,51.99,51.78,51.79,34124
a1475242560,51.76,51.9,51.76,51.83,13631
a1475242620,51.75,51.75,51.7,51.71,1400
a1475242680,51.79,51.79,51.71,51.74,15550
a1475242740,51.74,51.85,51.74,51.77,16950
a1475242800,51.86,51.87,51.75,51.75,8503
a1475242860,51.7,51.84,51.7,51.83,9846
a1475242920,51.6,51.7,51.59,51.68,11332
a1475242980,51.5575,51.6,51.55,51.6,7608
a1475243040,51.49,51.575,51.49,51.575,2900
a1475243100,51.54,51.59,51.5,51.5,5750
a1475243160,51.68,51.68,51.55,51.55,5310
a1475243220,51.62,51.66,51.5885,51.64,5768
a1475243280,51.59,51.6485,51.56,51.61,9231
a1475243340,51.63,51.63,51.57,51.58,2600
a1475243400,51.53,51.64,51.53,51.63,13316
a1475243460,51.53,51.55,51.49,51.54,16850
a1475243520,51.595,51.61,51.54,51.56,106041
a1475243580,51.55,51.63,51.54,51.61,15936
a1475243640,51.475,51.55,51.475,51.55,11929
a1475243700,51.4,51.5,51.39,51.48,19100
a1475243760,51.4,51.41,51.39,51.4,3407
a1475243820,51.4814,51.4814,51.42,51.42,31398
a1475243880,51.41,51.47,51.38,51.46,22261
a1475243940,51.48,51.48,51.4,51.41,12912
a1475244000,51.52,51.52,51.46,51.5,10000
a1475244060,51.5,51.54,51.48,51.54,7779
a1475244120,51.47,51.49,51.45,51.49,17078
a1475244180,51.46,51.48,51.45,51.48,8902
a1475244240,51.46,51.47,51.45,51.45,10454
a1475244300,51.535,51.535,51.45,51.465,11568
a1475244360,51.54,51.565,51.53,51.5398,12882
a1475244420,51.51,51.55,51.51,51.53,9473
a1475244480,51.53,51.54,51.48,51.5,10825
a1475244540,51.56,51.57,51.52,51.52,4110
a1475244600,51.66,51.66,51.54,51.5401,7438
a1475244660,51.665,51.68,51.65,51.66,15427
a1475244720,51.7,51.7,51.67,51.67,8745
a1475244780,51.8,51.8,51.7,51.7,14991
a1475244840,51.83,51.84,51.805,51.805,13300
a1475244900,51.855,51.8599,51.8,51.84,11030
a1475244960,51.79,51.86,51.79,51.855,22168
a1475245020,51.75,51.795,51.75,51.78,16390
a1475245080,51.755,51.79,51.75,51.76,10355
a1475245140,51.76,51.8,51.75,51.755,26406
a1475245200,51.77,51.78,51.7,51.76,9953
a1475245260,51.82,51.83,51.775,51.78,22847
a1475245320,51.8,51.85,51.79,51.83,8852
a1475245380,51.78,51.805,51.76,51.8,10344
a1475245440,51.84,51.84,51.775,51.78,8402
a1475245500,51.855,51.855,51.825,51.84,11785
a1475245560,51.845,51.85,51.82,51.85,18824
a1475245620,51.895,51.91,51.84,51.845,12266
a1475245680,51.895,51.915,51.895,51.9,6900
a1475245740,51.96,51.96,51.895,51.895,10800
a1475245800,52.02,52.025,51.97,51.97,17579
a1475245860,52.025,52.04,52.01,52.03,13773
