https://www.google.com/finance/getprices?i=119&p=100d&f=d,o,h,l,c,v&df=cpct&q=VA

EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=119
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1475242200,53.62,53.62,53.62,53.62,1316
a1475242260,53.6659,53.6659,53.6659,53.6659,1000
a1475242320,53.55,53.71,53.55,53.71,200
a1475242560,53.59,53.59,53.59,53.59,100
a1475242740,53.33,53.46,53.33,53.46,907
a1475242860,53.31,53.31,53.31,53.31,100
a1475242980,53.3539,53.3539,53.3539,53.3539,1000
a1475243040,53.26,53.36,53.26,53.36,600
a1475243100,53.32,53.32,53.32,53.32,100
a1475243160,53.255,53.31,53.2,53.31,400
a1475243280,53.31,53.35,53.28,53.28,1100
a1475243400,53.29,53.29,53.29,53.29,700
a1475243460,53.24,53.28,53.24,53.28,200
a1475243520,53.39,53.39,53.36,53.36,200
a1475243700,53.375,53.38,53.375,53.38,300
a1475244000,53.38,53.38,53.38,53.38,100
a1475244060,53.37,53.38,53.355,53.38,600
a1475244120,53.42,53.42,53.39,53.39,1200
a1475244180,53.49,53.49,53.48,53.48,400
a1475244300,53.43,53.5189,53.42,53.51,7300
a1475244360,53.44,53.5,53.42,53.4881,25233
a1475244420,53.475,53.475,53.475,53.475,200
a1475244480,53.44,53.485,53.435,53.45,3300
a1475244540,53.46,53.47,53.42,53.45,1400
a1475244600,53.4,53.445,53.4,53.42,2100
a1475244660,53.4,53.42,53.4,53.4,700
a1475244720,53.415,53.415,53.4,53.4,1200
a1475244780,53.415,53.415,53.415,53.415,1000
a1475244840,53.4132,53.4132,53.4,53.4,1700
a1475244900,53.4,53.415,53.4,53.4,4110
a1475244960,53.4131,53.4131,53.4,53.4,2000
a1475245020,53.401,53.401,53.4,53.4,1800
a1475245080,53.4,53.4128,53.4,53.4,3600
a1475245140,53.4,53.4,53.4,53.4,300
a1475245200,53.4075,53.4075,53.4075,53.4075,100
a1475245260,53.43,53.43,53.4,53.401,13200
a1475245320,53.43,53.43,53.4,53.4,609
a1475245380,53.4,53.43,53.4,53.43,1400
a1475245440,53.43,53.44,53.43,53.43,1315
a1475245500,53.4695,53.4695,53.4695,53.4695,1000
a1475245560,53.42,53.48,53.42,53.4745,2300
a1475245620,53.42,53.43,53.42,53.42,1600
a1475245680,53.5,53.51,53.5,53.5,1200
a1475245740,53.5,53.5,53.5,53.5,100
a1475245860,53.49,53.49,53.49,53.49,100
a1475245920,53.49,53.49,53.49,53.49,100
a1475245980,53.49,53.49,53.49,53.49,100
a1475246040,53.49,53.49,53.49,53.49,100
a1475246100,53.49,53.49,53.49,53.49,100
a1475246160,53.49,53.49,53.49,53.49,100
a1475246280,53.49,53.49,53.49,53.49,200
a1475246340,53.45,53.45,53.45,53.45,100
a1475246400,53.48,53.48,53.48,53.48,200
a1475246460,53.5,53.51,53.48,53.48,2167
a1475246520,53.48,53.5,53.48,53.5,500
a1475246580,53.51,53.51,53.5,53.5,300
a1475246700,53.49,53.5,53.49,53.495,500
a1475246760,53.5,53.5,53.5,53.5,400
a1475246880,53.5,53.5019,53.49,53.5019,1900
a1475246940,53.5,53.5,53.5,53.5,100
a1475247060,53.49,53.5,53.48,53.5,1000
a1475247180,53.5,53.5,53.5,53.5,100
a1475247240,53.51,53.51,53.5,53.5,200
a1475247300,53.44,53.5,53.44,53.5,1900
a1475247360,53.45,53.45,53.42,53.42,1400
a1475247540,53.48,53.48,53.48,53.48,100
a1475247600,53.5,53.51,53.48,53.48,600
a1475247660,53.5,53.5,53.5,53.5,600
a1475247720,53.47,53.5,53.45,53.5,6100
a1475247780,53.45,53.5,53.45,53.48,3900
a1475247840,53.5,53.5,53.445,53.45,3600
a1475247900,53.51,53.51,53.5,53.5,1300
a1475247960,53.49,53.51,53.49,53.5,2800
a1475248020,53.48,53.51,53.48,53.5,2400
a1475248080,53.47,53.5,53.45,53.46,5114
a1475248140,53.5,53.51,53.48,53.5,10157
a1475248200,53.51,53.51,53.5,53.51,1100
a1475248260,53.49,53.52,53.49,53.5,6700
a1475248320,53.51,53.51,53.51,53.51,300
a1475248380,53.5086,53.52,53.49,53.51,1770
a1475248440,53.51,53.51,53.51,53.51,700
a1475248500,53.52,53.53,53.5,53.51,5790
a1475248560,53.52,53.52,53.5,53.51,7972
a1475248620,53.51,53.52,53.5,53.51,3875
a1475248680,53.525,53.525,53.51,53.525,600
a1475248740,53.54,53.54,53.54,53.54,100
a1475248800,53.515,53.53,53.51,53.525,1800
a1475248860,53.51,53.53,53.51,53.53,1300
a1475248920,53.515,53.53,53.515,53.515,300
a1475248980,53.515,53.515,53.515,53.515,200
a1475249040,53.51,53.515,53.51,53.515,500
a1475249100,53.51,53.52,53.51,53.52,500
a1475249160,53.51,53.515,53.51,53.515,1675
a1475249220,53.5,53.51,53.5,53.51,700
a1475249280,53.51,53.51,53.51,53.51,400
a1475249340,53.51,53.52,53.5,53.51,4900
a1475249400,53.55,53.55,53.54,53.54,1100
a1475249460,53.588,53.59,53.588,53.59,300
a1475249520,53.592,53.592,53.592,53.592,280
a1475249640,53.55,53.56,53.55,53.56,200
a1475249700,53.54,53.54,53.53,53.54,400
a1475249760,53.54,53.54,53.54,53.54,100
a1475249820,53.5328,53.5328,53.5328,53.5328,200
a1475249940,53.54,53.54,53.54,53.54,100
a1475250000,53.55,53.55,53.55,53.55,400
a1475250060,53.57,53.57,53.5699,53.5699,209
a1475250120,53.57,53.57,53.555,53.57,2100
a1475250180,53.59,53.59,53.565,53.57,17400
a1475250240,53.58,53.59,53.55,53.58,6240
a1475250300,53.59,53.59,53.555,53.555,1000
a1475250360,53.59,53.61,53.56,53.56,1500
a1475250420,53.55,53.55,53.55,53.55,200
a1475250480,53.58,53.58,53.55,53.55,200
a1475250540,53.6,53.6,53.57,53.57,1500
a1475250600,53.62,53.62,53.62,53.62,100
a1475250660,53.6,53.6136,53.6,53.6136,505
a1475250720,53.6,53.6,53.6,53.6,100
a1475250780,53.623,53.623,53.623,53.623,185
a1475250840,53.61,53.61,53.6,53.6,1600
a1475250900,53.58,53.64,53.55,53.61,15100
a1475250960,53.55,53.55,53.55,53.55,300
a1475251020,53.54,53.56,53.53,53.56,400
a1475251140,53.48,53.54,53.48,53.54,4800
a1475251200,53.49,53.49,53.49,53.49,900
a1475251260,53.5,53.5,53.5,53.5,1600
a1475251320,53.5,53.5,53.49,53.49,900
a1475251380,53.5,53.5,53.5,53.5,400
a1475251440,53.5,53.5,53.5,53.5,100
a1475251500,53.49,53.5,53.49,53.5,1100
a1475251620,53.5,53.5,53.48,53.49,2200
a1475251680,53.5068,53.5099,53.5,53.5,1460
a1475251740,53.51,53.51,53.505,53.505,1000
a1475251800,53.51,53.52,53.5,53.52,3004
a1475251860,53.54,53.54,53.49,53.49,12743
a1475251920,53.53,53.53,53.53,53.53,500
a1475252040,53.53,53.53,53.51,53.51,900
a1475252100,53.53,53.535,53.515,53.53,9122
a1475252160,53.53,53.53,53.52,53.52,500
