https://www.google.com/finance/getprices?i=239&p=100d&f=d,o,h,l,c,v&df=cpct&q=AAL

EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=239
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1472650200,36.74,36.98,36.73,36.97,61988
a1472650380,36.445,36.98,36.2,36.94,193470
a1472650560,36.52,36.62,36.34,36.47,203458
a1472650740,36.55,36.6,36.53,36.56,72045
a1472650920,36.65,36.68,36.54,36.55,61517
a1472651100,36.48,36.71,36.46,36.64,87473
a1472651280,36.35,36.52,36.34,36.495,131707
a1472651460,36.37,36.39,36.2533,36.35,108588
a1472651640,36.35,36.41,36.315,36.37,105063
a1472651820,36.36,36.38,36.3,36.36,130704
a1472652000,36.4,36.43,36.335,36.355,72240
a1472652180,36.38,36.43,36.33,36.4,113708
a1472652360,36.44,36.49,36.37,36.3753,167618
a1472652540,36.47,36.51,36.44,36.44,177916
a1472652720,36.45,36.48,36.42,36.47,182012
a1472652900,36.36,36.45,36.285,36.45,120224
a1472653080,36.385,36.4,36.36,36.36,67730
a1472653260,36.405,36.42,36.37,36.385,55166
a1472653440,36.4082,36.42,36.38,36.41,48386
a1472653620,36.4292,36.47,36.4035,36.41,129280
a1472653800,36.5,36.54,36.433,36.44,130790
a1472653980,36.465,36.51,36.45,36.49,113108
a1472654160,36.4,36.48,36.35,36.47,104785
a1472654340,36.3833,36.415,36.38,36.41,47097
a1472654520,36.34,36.395,36.32,36.395,54952
a1472654700,36.35,36.351,36.29,36.34,70803
a1472654880,36.37,36.39,36.3175,36.3175,66604
a1472655060,36.32,36.405,36.32,36.375,141744
a1472655240,36.26,36.33,36.26,36.315,84095
a1472655420,36.27,36.31,36.26,36.26,76880
a1472655600,36.18,36.27,36.17,36.265,286603
a1472655780,36.17,36.19,36.15,36.18,90228
a1472655960,36.04,36.2,36.02,36.17,141401
a1472656140,35.97,36.09,35.97,36.04,147238
a1472656320,36.03,36.04,35.97,35.97,121660
a1472656500,35.89,36.04,35.89,36.03,70632
a1472656680,35.92,35.955,35.895,35.895,98500
a1472656860,35.87,35.97,35.83,35.93,115237
a1472657040,35.8599,35.8996,35.85,35.879,54085
a1472657220,35.95,35.96,35.8401,35.86,80083
a1472657400,36.05,36.05,35.95,35.95,68756
a1472657580,36.1,36.12,36.04,36.05,62642
a1472657760,35.95,36.1,35.95,36.09,71344
a1472657940,35.84,35.95,35.83,35.95,49790
a1472658120,35.86,35.93,35.85,35.85,57014
a1472658300,35.89,35.89,35.85,35.85,34795
a1472658480,35.85,35.91,35.84,35.89,78760
a1472658660,35.81,35.85,35.76,35.845,75489
a1472658840,35.82,35.87,35.82,35.82,46874
a1472659020,35.8,35.84,35.77,35.82,61582
a1472659200,35.79,35.82,35.78,35.8,52498
a1472659380,35.71,35.79,35.69,35.785,70861
a1472659560,35.65,35.71,35.6341,35.71,54213
a1472659740,35.68,35.69,35.64,35.65,42951
a1472659920,35.68,35.68,35.65,35.68,36652
a1472660100,35.645,35.71,35.64,35.69,42886
a1472660280,35.7,35.7,35.63,35.641,67543
a1472660460,35.725,35.725,35.6556,35.69,40994
a1472660640,35.78,35.79,35.721,35.73,54878
a1472660820,35.76,35.785,35.76,35.78,27359
a1472661000,35.75,35.77,35.745,35.76,22657
a1472661180,35.7264,35.76,35.72,35.75,33980
a1472661360,35.81,35.81,35.725,35.73,47740
a1472661540,35.8615,35.87,35.8,35.81,87737
a1472661720,35.873,35.92,35.85,35.86,39051
a1472661900,35.86,35.88,35.82,35.87,75193
a1472662080,35.85,35.865,35.84,35.86,25827
a1472662260,35.83,35.865,35.83,35.85,27617
a1472662440,35.85,35.87,35.835,35.8378,39001
a1472662620,35.89,35.89,35.85,35.85,25627
a1472662800,35.875,35.9,35.87,35.89,14441
a1472662980,35.885,35.9,35.87,35.88,17804
a1472663160,35.901,35.915,35.88,35.89,18138
a1472663340,35.85,35.91,35.85,35.9,47204
a1472663520,35.81,35.85,35.805,35.85,22222
a1472663700,35.835,35.85,35.81,35.81,13451
a1472663880,35.781,35.845,35.77,35.84,37515
a1472664060,35.82,35.83,35.79,35.79,34317
a1472664240,35.79,35.82,35.79,35.81,21917
a1472664420,35.8197,35.83,35.79,35.795,17143
a1472664600,35.83,35.83,35.8,35.83,21661
a1472664780,35.76,35.84,35.75,35.84,80232
a1472664960,35.765,35.77,35.74,35.765,19380
a1472665140,35.78,35.78,35.76,35.765,15523
a1472665320,35.79,35.79,35.76,35.77,35618
a1472665500,35.82,35.8599,35.79,35.79,58469
a1472665680,35.79,35.82,35.78,35.82,16753
a1472665860,35.7715,35.79,35.76,35.7811,12684
a1472666040,35.795,35.8,35.77,35.775,14200
a1472666220,35.7761,35.795,35.77,35.79,26150
a1472666400,35.705,35.775,35.7,35.771,64090
a1472666580,35.73,35.73,35.7,35.7,36157
a1472666760,35.81,35.82,35.725,35.73,51472
a1472666940,35.822,35.86,35.8,35.81,62270
a1472667120,35.88,35.9,35.82,35.83,46705
a1472667300,35.88,35.9,35.88,35.885,17413
a1472667480,35.855,35.8995,35.83,35.88,32526
a1472667660,35.87,35.88,35.81,35.85,41175
a1472667840,35.87,35.88,35.85,35.871,21132
a1472668020,35.88,35.88,35.855,35.8799,12600
a1472668200,35.92,35.94,35.88,35.88,128607
a1472668380,35.915,35.93,35.87,35.91,40400
a1472668560,35.91,35.92,35.89,35.91,21309
a1472668740,35.92,35.941,35.905,35.911,24713
a1472668920,35.915,35.93,35.9,35.92,27207
a1472669100,35.91,35.94,35.91,35.915,44343
a1472669280,35.905,35.94,35.89,35.91,196738
a1472669460,35.91,35.93,35.9,35.91,30188
a1472669640,35.925,35.93,35.91,35.915,51370
a1472669820,35.93,35.94,35.915,35.93,28009
a1472670000,35.91,35.942,35.9,35.94,33467
a1472670180,35.91,35.95,35.9,35.91,294345
a1472670360,35.98,35.98,35.91,35.91,29118
a1472670540,36,36.01,35.975,35.98,63810
a1472670720,35.995,36.05,35.99,36.01,93908
a1472670900,36,36.01,35.99,35.995,63289
a1472671080,36.04,36.09,36.005,36.01,80660
a1472671260,36.04,36.05,36.01,36.04,45008
a1472671440,36.03,36.05,36.03,36.04,36026
a1472671620,36.0299,36.0396,35.96,36.03,127943
a1472671800,36.035,36.05,36.015,36.03,67669
a1472671980,36.075,36.1,36.01,36.04,152646
a1472672160,36.12,36.1491,36.075,36.075,89265
a1472672340,36.16,36.175,36.12,36.12,113031
a1472672520,36.24,36.245,36.15,36.16,100933
a1472672700,36.2533,36.29,36.23,36.23,93222
a1472672880,36.245,36.2699,36.2,36.25,141323
a1472673060,36.26,36.26,36.24,36.25,98700
a1472673240,36.29,36.29,36.245,36.255,168199
a1472673420,36.305,36.33,36.26,36.29,295762
a1472673600,36.3,36.34,36.28,36.3036,2198752
a1472736600,36.5,36.53,36.45,36.53,62573
a1472736780,36.43,36.65,36.4,36.53,47708
a1472736960,36.5763,36.58,36.28,36.43,82948
a1472737140,36.56,36.58,36.52,36.578,68708
a1472737320,36.6298,36.66,36.54,36.555,71497
