https://www.google.com/finance/getprices?i=239&p=100d&f=d,o,h,l,c,v&df=cpct&q=DAL

EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=239
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1472650200,37.03,37.32,37.03,37.32,98465
a1472650380,36.85,37.13,36.81,37.02,114997
a1472650560,36.91,36.93,36.82,36.86,137121
a1472650740,36.9426,36.97,36.87,36.9,132298
a1472650920,37.07,37.11,36.935,36.935,168628
a1472651100,37.08,37.15,37.01,37.08,95625
a1472651280,37.09,37.12,37.04,37.1,82025
a1472651460,37.1,37.14,37,37.09,87306
a1472651640,37.045,37.11,37.0375,37.1,44671
a1472651820,37.06,37.07,37.01,37.05,56148
a1472652000,37.09,37.09,37.045,37.07,72396
a1472652180,37.03,37.09,37.025,37.09,64562
a1472652360,37.03,37.05,36.96,37.025,205836
a1472652540,36.99,37.045,36.98,37.02,77226
a1472652720,36.97,37,36.94,36.99,130078
a1472652900,36.9265,36.97,36.87,36.97,174447
a1472653080,36.885,36.95,36.88,36.94,88014
a1472653260,36.87,36.89,36.84,36.885,102967
a1472653440,36.84,36.88,36.82,36.88,242734
a1472653620,36.837,36.85,36.82,36.84,72094
a1472653800,36.83,36.87,36.82,36.84,64208
a1472653980,36.85,36.87,36.795,36.83,180503
a1472654160,36.8,36.865,36.76,36.845,194476
a1472654340,36.855,36.86,36.79,36.8,44557
a1472654520,36.745,36.86,36.745,36.855,60634
a1472654700,36.76,36.77,36.73,36.74,77258
a1472654880,36.8201,36.83,36.75,36.77,48816
a1472655060,36.7601,36.825,36.75,36.82,48149
a1472655240,36.72,36.8,36.71,36.765,116246
a1472655420,36.66,36.74,36.66,36.72,114694
a1472655600,36.6,36.669,36.6,36.655,113067
a1472655780,36.57,36.645,36.57,36.605,105343
a1472655960,36.41,36.58,36.4,36.57,224362
a1472656140,36.35,36.415,36.35,36.41,377278
a1472656320,36.4,36.4,36.29,36.355,223808
a1472656500,36.26,36.4052,36.25,36.4,203963
a1472656680,36.33,36.38,36.265,36.27,154335
a1472656860,36.26,36.34,36.23,36.33,136434
a1472657040,36.23,36.32,36.22,36.27,143978
a1472657220,36.27,36.28,36.2,36.24,173543
a1472657400,36.27,36.3,36.24,36.265,141640
a1472657580,36.31,36.34,36.26,36.265,163545
a1472657760,36.19,36.31,36.18,36.3,139857
a1472657940,36.05,36.19,36.04,36.1852,194383
a1472658120,36.085,36.139,36.054,36.06,125497
a1472658300,36.055,36.09,36.04,36.085,118613
a1472658480,36.0799,36.085,36.03,36.06,76994
a1472658660,36.06,36.08,36.02,36.07,50594
a1472658840,36.1,36.115,36.06,36.06,49655
a1472659020,36.07,36.115,36.06,36.1061,94629
a1472659200,36.121,36.13,36.06,36.07,82088
a1472659380,36.071,36.15,36.07,36.13,185004
a1472659560,36.035,36.08,36.03,36.08,75099
a1472659740,36.09,36.09,36.02,36.03,89869
a1472659920,36.12,36.13,36.08,36.09,62989
a1472660100,36.085,36.1299,36.06,36.12,96154
a1472660280,36.095,36.1,36.07,36.09,148055
a1472660460,36.13,36.14,36.03,36.09,113085
a1472660640,36.155,36.16,36.13,36.13,28497
a1472660820,36.219,36.22,36.15,36.16,115100
a1472661000,36.235,36.235,36.19,36.21,92907
a1472661180,36.219,36.25,36.21,36.23,79746
