https://www.google.com/finance/getprices?i=239&p=100d&f=d,o,h,l,c,v&df=cpct&q=LUV

EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=239
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1472650200,37.25,37.25,37.2,37.2,42381
a1472650380,37.26,37.31,37.07,37.2,57016
a1472650560,37.38,37.47,37.27,37.28,106936
a1472650740,37.5,37.54,37.39,37.398,64695
a1472650920,37.52,37.62,37.47,37.49,85587
a1472651100,37.45,37.58,37.35,37.51,67122
a1472651280,37.4099,37.4994,37.36,37.49,38244
a1472651460,37.35,37.49,37.325,37.4,117259
a1472651640,37.29,37.393,37.2346,37.35,177517
a1472651820,37.247,37.29,37.22,37.29,61174
a1472652000,37.31,37.32,37.165,37.245,48408
a1472652180,37.21,37.3126,37.19,37.3126,31425
a1472652360,37.23,37.26,37.1999,37.211,62349
a1472652540,37.16,37.24,37.16,37.23,63301
a1472652720,37.12,37.16,37.11,37.16,87919
a1472652900,37.13,37.15,37.025,37.12,93980
a1472653080,37.09,37.145,37.07,37.13,42655
a1472653260,37.105,37.11,37.07,37.09,46279
a1472653440,37.09,37.11,37.085,37.1,12177
a1472653620,37.09,37.14,37.09,37.095,39723
a1472653800,37.085,37.125,37.08,37.1,19816
a1472653980,37.09,37.105,37.06,37.07,26827
a1472654160,37.02,37.11,36.97,37.09,40459
a1472654340,37.045,37.05,37,37.015,13093
a1472654520,36.96,37.055,36.93,37.04,39829
a1472654700,37,37,36.97,36.97,21814
a1472654880,37,37.015,36.95,37,45462
a1472655060,36.9534,37.005,36.95,36.99,27761
a1472655240,36.8997,36.9766,36.88,36.96,64240
a1472655420,36.92,36.95,36.895,36.9,37680
a1472655600,36.84,36.92,36.84,36.92,43621
a1472655780,36.86,36.9,36.81,36.83,29798
a1472655960,36.78,36.8748,36.78,36.86,46002
a1472656140,36.725,36.77,36.705,36.77,45991
a1472656320,36.77,36.77,36.73,36.73,17711
a1472656500,36.6899,36.79,36.6899,36.78,25677
a1472656680,36.75,36.755,36.685,36.69,26797
a1472656860,36.73,36.745,36.7,36.74,30769
a1472657040,36.745,36.76,36.7283,36.73,33310
a1472657220,36.8001,36.81,36.74,36.74,29666
a1472657400,36.82,36.84,36.79,36.8076,60464
a1472657580,36.81,36.84,36.79,36.82,23386
a1472657760,36.76,36.805,36.75,36.8,32999
a1472657940,36.68,36.765,36.68,36.76,21157
a1472658120,36.69,36.73,36.67,36.68,45167
a1472658300,36.695,36.695,36.67,36.69,26041
a1472658480,36.68,36.7,36.66,36.695,31765
a1472658660,36.65,36.68,36.65,36.679,14541
a1472658840,36.675,36.69,36.655,36.66,28297
a1472659020,36.64,36.69,36.635,36.68,63526
a1472659200,36.635,36.645,36.62,36.645,43209
a1472659380,36.58,36.635,36.555,36.63,58100
a1472659560,36.525,36.575,36.51,36.57,43884
a1472659740,36.535,36.545,36.52,36.53,35847
a1472659920,36.54,36.54,36.52,36.53,20233
a1472660100,36.5,36.54,36.5,36.54,26399
a1472660280,36.49,36.51,36.46,36.51,95757
a1472660460,36.5,36.51,36.48,36.49,14490
a1472660640,36.5,36.53,36.5,36.5,18310
a1472660820,36.52,36.52,36.49,36.5,25618
a1472661000,36.51,36.52,36.5,36.52,25980
a1472661180,36.45,36.51,36.45,36.505,29408
