https://www.google.com/finance/getprices?i=239&p=100d&f=d,o,h,l,c,v&df=cpct&q=UAL

EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=239
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1472650200,50.79,50.79,50.79,50.79,29901
a1472650380,50.58,50.8,50.35,50.8,51149
a1472650560,50.71,50.83,50.5,50.555,46138
a1472650740,50.73,50.78,50.6,50.69,37201
a1472650920,50.83,51,50.73,50.7414,79761
a1472651100,50.66,50.88,50.55,50.84,63461
a1472651280,50.57,50.67,50.52,50.67,43303
a1472651460,50.575,50.58,50.455,50.56,65912
a1472651640,50.515,50.63,50.46,50.5789,77141
a1472651820,50.335,50.53,50.32,50.52,79013
a1472652000,50.33,50.35,50.24,50.34,50532
a1472652180,50.21,50.3995,50.18,50.33,69305
a1472652360,50.3,50.33,50.175,50.19,79025
a1472652540,50.14,50.34,50.14,50.29,57495
a1472652720,50.13,50.21,50.09,50.12,64928
a1472652900,50.0701,50.14,50,50.12,69161
a1472653080,50.17,50.18,50.03,50.0782,65819
a1472653260,50.26,50.26,50.14,50.17,42849
a1472653440,50.245,50.29,50.2,50.27,36401
a1472653620,50.2,50.3075,50.13,50.25,41859
a1472653800,50.2,50.31,50.19,50.1999,21956
a1472653980,50.24,50.24,50.12,50.18,28536
a1472654160,50.06,50.25,50.02,50.22,17200
a1472654340,50.11,50.13,50.01,50.055,19823
a1472654520,50.02,50.11,50.01,50.11,31580
a1472654700,50.035,50.08,50.01,50.0192,23332
a1472654880,50.1,50.1199,50.01,50.05,28769
a1472655060,50.1,50.12,50.06,50.1,22126
a1472655240,50.07,50.15,50.06,50.1,45031
a1472655420,50.06,50.125,50.05,50.07,26722
a1472655600,49.95,50.05,49.94,50.05,71169
a1472655780,49.99,50.02,49.93,49.95,84574
a1472655960,49.79,50,49.79,49.99,38363
a1472656140,49.7,49.8,49.68,49.8,37042
a1472656320,49.71,49.71,49.611,49.7,49824
a1472656500,49.62,49.72,49.62,49.71,28313
a1472656680,49.725,49.75,49.62,49.62,44465
a1472656860,49.62,49.73,49.61,49.7275,28358
a1472657040,49.66,49.69,49.61,49.61,19521
a1472657220,49.75,49.76,49.65,49.65,27777
a1472657400,49.91,49.95,49.75,49.75,82756
a1472657580,49.94,49.96,49.91,49.92,46442
a1472657760,49.84,49.94,49.83,49.94,49279
a1472657940,49.72,49.85,49.72,49.83,34513
a1472658120,49.73,49.81,49.72,49.73,22754
a1472658300,49.75,49.7592,49.72,49.72,27402
a1472658480,49.67,49.76,49.65,49.75,27554
a1472658660,49.6501,49.68,49.62,49.68,12262
a1472658840,49.71,49.745,49.66,49.66,49708
a1472659020,49.67,49.74,49.66,49.71,25325
a1472659200,49.7075,49.715,49.65,49.68,16036
a1472659380,49.56,49.7,49.56,49.7,44973
a1472659560,49.48,49.5699,49.47,49.5699,32338
a1472659740,49.52,49.5375,49.48,49.48,71747
a1472659920,49.5,49.53,49.4768,49.52,44053
a1472660100,49.4,49.51,49.39,49.5,41995
a1472660280,49.421,49.421,49.35,49.4,28264
a1472660460,49.45,49.45,49.4,49.42,18404
a1472660640,49.51,49.53,49.45,49.46,24421
a1472660820,49.53,49.55,49.5,49.52,24812
a1472661000,49.5384,49.55,49.51,49.53,29272
a1472661180,49.47,49.5464,49.47,49.5464,17214
