https://www.google.com/finance/getprices?i=239&p=100d&f=d,o,h,l,c,v&df=cpct&q=VA

EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=239
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1472650200,55.89,55.89,55.89,55.89,2098
a1472650380,55.91,55.91,55.9,55.9,613
a1472650560,55.9,55.9,55.87,55.9,2899
a1472650740,55.91,55.91,55.9,55.9,1100
a1472650920,55.92,55.92,55.88,55.9,8400
a1472651100,55.9,55.91,55.9,55.91,1600
a1472651280,55.91,55.91,55.91,55.91,900
a1472651460,55.92,55.92,55.91,55.92,2443
a1472651640,55.93,55.93,55.93,55.93,200
a1472651820,55.92,55.93,55.9,55.93,4687
a1472652000,55.93,55.93,55.92,55.92,2900
a1472652180,55.93,55.93,55.93,55.93,800
a1472652360,55.93,55.93,55.92,55.93,3000
a1472652540,55.89,55.93,55.89,55.93,1602
a1472652720,55.9,55.9,55.89,55.89,200
a1472652900,55.89,55.89,55.89,55.89,400
a1472653080,55.89,55.91,55.89,55.9,1100
a1472653260,55.89,55.9,55.88,55.89,800
a1472653440,55.89,55.89,55.89,55.89,200
a1472653620,55.87,55.89,55.87,55.89,500
a1472653800,55.87,55.87,55.87,55.87,400
a1472653980,55.85,55.88,55.85,55.86,1995
a1472654160,55.85,55.88,55.85,55.85,700
a1472654340,55.88,55.88,55.86,55.86,600
a1472654520,55.85,55.87,55.85,55.86,1200
a1472654700,55.85,55.85,55.85,55.85,200
a1472654880,55.855,55.855,55.85,55.85,1000
a1472655060,55.85,55.85,55.85,55.85,700
a1472655240,55.86,55.86,55.85,55.86,700
a1472655420,55.86,55.86,55.85,55.85,1500
a1472655600,55.85,55.855,55.85,55.85,600
a1472655780,55.81,55.85,55.81,55.85,2300
a1472655960,55.81,55.815,55.79,55.79,5100
a1472656140,55.79,55.79,55.79,55.79,100
a1472656320,55.82,55.82,55.79,55.82,1300
a1472656500,55.78,55.8,55.78,55.8,1300
a1472656680,55.76,55.77,55.75,55.77,2800
a1472656860,55.76,55.76,55.75,55.755,2100
a1472657040,55.755,55.76,55.75,55.755,1400
a1472657220,55.73,55.76,55.72,55.755,27203
a1472657400,55.77,55.79,55.73,55.73,15100
a1472657580,55.75,55.765,55.75,55.765,2309
a1472657760,55.7,55.755,55.7,55.755,2562
a1472657940,55.705,55.705,55.7,55.705,1000
a1472658120,55.7,55.705,55.7,55.7,1600
a1472658300,55.705,55.71,55.7,55.7,1200
a1472658480,55.705,55.71,55.7,55.71,1372
a1472658660,55.71,55.71,55.7,55.7,800
a1472658840,55.7,55.705,55.7,55.705,500
a1472659020,55.69,55.705,55.69,55.705,30000
a1472659200,55.66,55.67,55.66,55.67,1100
a1472659380,55.6,55.66,55.6,55.66,2300
a1472659560,55.58,55.63,55.58,55.6,8500
a1472659740,55.63,55.63,55.59,55.59,22887
a1472659920,55.57,55.63,55.57,55.63,4600
a1472660100,55.54,55.57,55.54,55.57,1600
a1472660280,55.53,55.53,55.52,55.52,600
a1472660460,55.54,55.54,55.51,55.51,3204
a1472660640,55.54,55.5401,55.5,55.5401,15134
a1472660820,55.53,55.54,55.53,55.54,400
a1472661000,55.57,55.57,55.54,55.54,900
a1472661180,55.56,55.6,55.56,55.58,7846
a1472661540,55.57,55.58,55.57,55.58,350
a1472661720,55.58,55.58,55.58,55.58,500
a1472661900,55.5802,55.585,55.57,55.57,2400
a1472662080,55.59,55.59,55.59,55.59,100
a1472662260,55.58,55.58,55.58,55.58,100
a1472662440,55.58,55.58,55.58,55.58,100
a1472662620,55.57,55.59,55.57,55.58,1408
a1472662800,55.55,55.57,55.55,55.56,2200
a1472662980,55.56,55.56,55.55,55.55,6400
a1472663160,55.56,55.56,55.55,55.555,2681
a1472663340,55.56,55.56,55.55,55.55,7000
a1472663520,55.51,55.55,55.51,55.55,17500
a1472663700,55.5201,55.53,55.52,55.52,1977
a1472663880,55.52,55.52,55.5,55.52,11400
a1472664060,55.51,55.51,55.51,55.51,400
a1472664240,55.515,55.515,55.51,55.51,300
a1472664420,55.51,55.51,55.51,55.51,500
a1472664600,55.5,55.51,55.5,55.51,900
a1472664780,55.5,55.51,55.5,55.5,8000
a1472664960,55.5,55.51,55.5,55.5,2102
a1472665140,55.5,55.51,55.5,55.505,600
a1472665320,55.53,55.53,55.5,55.5,4500
a1472665500,55.535,55.54,55.52,55.52,1300
a1472665680,55.535,55.54,55.53,55.54,1000
a1472665860,55.54,55.54,55.54,55.54,200
a1472666040,55.54,55.54,55.54,55.54,100
a1472666220,55.54,55.54,55.53,55.53,1200
a1472666400,55.525,55.54,55.52,55.54,3341
a1472666580,55.54,55.54,55.525,55.53,900
a1472666760,55.54,55.54,55.535,55.535,300
a1472666940,55.57,55.58,55.54,55.54,2000
a1472667120,55.58,55.58,55.58,55.58,600
a1472667300,55.58,55.5893,55.57,55.58,495
a1472667480,55.62,55.62,55.59,55.59,900
a1472667660,55.64,55.69,55.62,55.62,4675
a1472667840,55.64,55.64,55.63,55.63,1299
a1472668200,55.6478,55.6478,55.6478,55.6478,1000
a1472668380,55.67,55.69,55.67,55.67,700
a1472668560,55.695,55.7,55.68,55.68,10500
a1472668740,55.7,55.7,55.69,55.695,3900
a1472668920,55.7,55.7,55.695,55.7,3900
a1472669100,55.66,55.7,55.66,55.7,2299
a1472669280,55.67,55.67,55.66,55.66,3300
a1472669640,55.67,55.67,55.67,55.67,1400
a1472669820,55.67,55.67,55.66,55.66,2100
a1472670000,55.67,55.67,55.66,55.665,700
a1472670180,55.66,55.67,55.66,55.67,2200
a1472670360,55.66,55.67,55.66,55.67,700
a1472670540,55.66,55.66,55.66,55.66,200
a1472670720,55.67,55.679,55.66,55.66,6149
a1472670900,55.68,55.68,55.67,55.67,200
a1472671080,55.69,55.69,55.68,55.68,1000
a1472671260,55.77,55.77,55.7,55.7,10403
a1472671440,55.79,55.79,55.77,55.78,1598
a1472671620,55.82,55.84,55.79,55.79,4900
a1472671800,55.82,55.825,55.81,55.815,11655
a1472671980,55.83,55.83,55.81,55.82,2400
a1472672160,55.77,55.83,55.77,55.82,4000
a1472672340,55.79,55.8,55.77,55.77,11366
a1472672520,55.79,55.79,55.77,55.79,13800
a1472672700,55.79,55.8,55.79,55.8,9850
a1472672880,55.78,55.8,55.78,55.8,7501
a1472673060,55.77,55.785,55.77,55.78,13700
a1472673240,55.75,55.79,55.75,55.775,21165
a1472673420,55.75,55.77,55.75,55.75,26001
a1472673600,55.69,55.73,55.68,55.73,33466
a1472736600,55.6,55.6,55.6,55.6,2887
a1472736780,55.7,55.7,55.68,55.68,500
a1472736960,55.67,55.67,55.6499,55.6499,352
a1472737140,55.65,55.67,55.65,55.67,3379
a1472737320,55.65,55.65,55.65,55.65,1036
a1472737500,55.65,55.65,55.65,55.65,662
a1472737680,55.65,55.65,55.65,55.65,100
a1472737860,55.62,55.66,55.62,55.66,458
a1472738040,55.6,55.62,55.6,55.62,400
a1472738220,55.6228,55.66,55.6,55.65,1137
a1472738400,55.63,55.63,55.63,55.63,100
