https://www.google.com/finance/getprices?i=179&p=100d&f=d,o,h,l,c,v&df=cpct&q=AAL

EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=179
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1473427800,39,39,39,39,60192
a1473427920,39.11,39.13,38.94,38.99,41411
a1473428040,39.05,39.1561,38.96,39.11,66772
a1473428160,39.05,39.11,38.9885,39.045,68328
a1473428280,39.17,39.21,39.03,39.04,40079
a1473428400,39.16,39.2,39.1,39.16,90770
a1473428520,39.2,39.267,39.15,39.15,50913
a1473428640,39.28,39.3,39.17,39.2,35000
a1473428760,39.32,39.33,39.2,39.28,47717
a1473428880,39.26,39.34,39.23,39.31,29948
a1473429000,39.19,39.26,39.18,39.26,34480
a1473429120,39.19,39.21,39.155,39.19,60585
a1473429240,39.12,39.2,39.11,39.18,38615
a1473429360,39.005,39.12,39,39.12,53572
a1473429480,38.9808,39.04,38.98,39.005,74197
a1473429600,39.11,39.11,38.98,38.98,39804
a1473429720,39.03,39.12,39.02,39.12,46209
a1473429840,39.0059,39.04,38.98,39.03,55617
a1473429960,38.99,39.02,38.95,39,46638
a1473430080,39,39,38.95,38.99,24851
a1473430200,39.015,39.02,38.975,38.99,27597
a1473430320,39,39.03,38.995,39.01,25760
a1473430440,39.01,39.02,38.99,39.01,40231
a1473430560,39.055,39.079,39.005,39.01,28799
a1473430680,39.05,39.105,39.045,39.06,15672
a1473430800,39,39.065,38.97,39.05,34105
a1473430920,38.98,39,38.97,38.99,7300
a1473431040,38.9963,39,38.95,38.97,26548
a1473431160,38.98,39,38.97,38.9925,49425
a1473431280,39.06,39.075,38.97,38.97,58542
a1473431400,39.03,39.07,39.01,39.07,19335
a1473431520,38.975,39.03,38.96,39.03,19800
a1473431640,38.9908,39.01,38.95,38.98,23667
a1473431760,38.96,39.015,38.95,39,25896
a1473431880,38.955,38.99,38.94,38.955,91379
a1473432000,38.925,38.97,38.88,38.96,63612
a1473432120,38.89,38.94,38.89,38.93,98669
a1473432240,38.9,38.91,38.885,38.89,89385
a1473432360,38.835,38.91,38.835,38.9,33275
a1473432480,38.78,38.835,38.76,38.83,66048
a1473432600,38.77,38.81,38.755,38.78,40767
a1473432720,38.84,38.84,38.77,38.77,40719
a1473432840,38.8,38.84,38.77,38.84,24405
a1473432960,38.7904,38.82,38.79,38.8,20577
a1473433080,38.81,38.815,38.77,38.8,18873
a1473433200,38.83,38.84,38.8,38.81,96250
a1473433320,38.8056,38.84,38.8,38.83,28572
a1473433440,38.795,38.82,38.79,38.8075,69556
a1473433560,38.7532,38.79,38.72,38.79,42480
a1473433680,38.76,38.785,38.735,38.75,16622
a1473433800,38.86,38.865,38.7605,38.7605,25718
a1473433920,38.84,38.875,38.83,38.86,23029
a1473434040,38.89,38.89,38.83,38.844,26357
a1473434160,38.865,38.92,38.86,38.89,25728
a1473434280,38.895,38.895,38.87,38.87,7891
a1473434400,38.9,38.91,38.88,38.9,18794
a1473434520,38.89,38.9,38.85,38.9,20748
a1473434640,38.865,38.89,38.86,38.885,12786
a1473434760,38.84,38.88,38.82,38.87,21324
a1473434880,38.845,38.845,38.81,38.845,11624
a1473435000,38.8435,38.865,38.83,38.84,19498
a1473435120,38.85,38.86,38.83,38.84,13866
a1473435240,38.815,38.8525,38.81,38.85,20989
a1473435360,38.775,38.82,38.74,38.82,57297
a1473435480,38.775,38.8,38.76,38.775,20854
a1473435600,38.735,38.78,38.715,38.78,30422
a1473435720,38.72,38.76,38.71,38.74,11121
a1473435840,38.66,38.725,38.66,38.72,17189
a1473435960,38.635,38.67,38.63,38.66,21646
a1473436080,38.665,38.67,38.63,38.63,14432
a1473436200,38.65,38.675,38.605,38.665,20769
a1473436320,38.65,38.695,38.65,38.65,25646
a1473436440,38.625,38.665,38.61,38.66,26054
a1473436560,38.61,38.635,38.58,38.625,21640
a1473436680,38.53,38.6,38.5,38.6,59739
a1473436800,38.54,38.55,38.51,38.54,18961
a1473436920,38.58,38.58,38.5306,38.54,13802
a1473437040,38.62,38.64,38.5707,38.585,16922
a1473437160,38.6,38.64,38.6,38.62,10661
a1473437280,38.53,38.59,38.48,38.59,143178
a1473437400,38.5608,38.565,38.5,38.52,35172
a1473437520,38.525,38.5805,38.515,38.58,23194
a1473437640,38.465,38.53,38.465,38.53,40582
a1473437760,38.47,38.48,38.46,38.465,10200
a1473437880,38.43,38.47,38.43,38.47,19878
a1473438000,38.42,38.435,38.41,38.43,25086
a1473438120,38.49,38.495,38.38,38.415,30638
a1473438240,38.51,38.53,38.5,38.5,10392
a1473438360,38.49,38.51,38.48,38.51,11200
a1473438480,38.51,38.5248,38.49,38.495,25640
a1473438600,38.51,38.535,38.5,38.51,27862
a1473438720,38.5,38.525,38.5,38.5,31491
a1473438840,38.54,38.55,38.505,38.51,16996
a1473438960,38.52,38.54,38.49,38.54,23965
a1473439080,38.505,38.515,38.49,38.51,13006
a1473439200,38.51,38.53,38.5,38.51,21247
a1473439320,38.47,38.51,38.46,38.5,27155
a1473439440,38.485,38.5,38.46,38.47,32087
a1473439560,38.4599,38.4925,38.45,38.49,30556
a1473439680,38.42,38.48,38.4,38.46,25631
a1473439800,38.41,38.425,38.4,38.41,9812
a1473439920,38.39,38.42,38.38,38.415,18693
a1473440040,38.3985,38.41,38.38,38.39,21839
a1473440160,38.37,38.43,38.36,38.4,17390
a1473440280,38.375,38.38,38.33,38.37,16947
a1473440400,38.39,38.4,38.37,38.38,31890
a1473440520,38.38,38.4199,38.36,38.39,14818
a1473440640,38.36,38.39,38.35,38.39,15532
a1473440760,38.38,38.3966,38.35,38.365,15002
a1473440880,38.38,38.39,38.38,38.39,2377
a1473441000,38.375,38.42,38.36,38.39,18573
a1473441120,38.33,38.38,38.32,38.38,28163
a1473441240,38.29,38.33,38.28,38.3261,21760
a1473441360,38.26,38.2997,38.25,38.291,19656
a1473441480,38.2767,38.28,38.21,38.26,24409
a1473441600,38.28,38.28,38.25,38.28,13432
a1473441720,38.26,38.31,38.25,38.285,16633
a1473441840,38.26,38.275,38.25,38.27,9584
a1473441960,38.28,38.305,38.265,38.27,10060
a1473442080,38.3,38.31,38.25,38.285,15649
a1473442200,38.2901,38.305,38.29,38.29,7166
a1473442320,38.255,38.3,38.25,38.2961,21482
a1473442440,38.3,38.3,38.25,38.2501,18528
a1473442560,38.26,38.3,38.255,38.29,9744
a1473442680,38.245,38.26,38.225,38.26,24932
a1473442800,38.235,38.25,38.2135,38.2401,17440
a1473442920,38.25,38.26,38.225,38.23,11224
a1473443040,38.225,38.26,38.21,38.245,25255
a1473443160,38.23,38.25,38.21,38.21,18863
a1473443280,38.2401,38.2401,38.22,38.23,14950
a1473443400,38.2,38.245,38.2,38.241,36162
a1473443520,38.18,38.215,38.18,38.2,23577
a1473443640,38.23,38.23,38.17,38.1899,39975
a1473443760,38.215,38.24,38.215,38.23,18592
a1473443880,38.26,38.265,38.2,38.21,33431
a1473444000,38.3,38.31,38.2699,38.2699,33379
a1473444120,38.27,38.305,38.2529,38.3,27696
