https://www.google.com/finance/getprices?i=179&p=100d&f=d,o,h,l,c,v&df=cpct&q=DAL

EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=179
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1473427800,39.09,39.09,39.05,39.09,76464
a1473427920,39.28,39.33,39.05,39.09,70251
a1473428040,39.28,39.39,39.19,39.29,68910
a1473428160,39.31,39.35,39.26,39.27,69133
a1473428280,39.254,39.32,39.2,39.29,52284
a1473428400,39.16,39.26,39.12,39.26,46440
a1473428520,39.17,39.22,39.14,39.15,43261
a1473428640,39.18,39.18,39.12,39.17,57955
a1473428760,39.17,39.18,39.08,39.18,55229
a1473428880,39.1,39.19,39.09,39.165,28520
a1473429000,39.02,39.101,39.02,39.101,33117
a1473429120,38.975,39.02,38.91,39.02,60183
a1473429240,38.944,38.975,38.91,38.97,67395
a1473429360,38.875,38.96,38.87,38.949,65320
a1473429480,38.8437,38.8984,38.84,38.88,57804
a1473429600,38.95,38.95,38.84,38.8448,30085
a1473429720,38.915,38.944,38.89,38.94,56334
a1473429840,38.89,38.95,38.88,38.91,45890
a1473429960,38.89,38.91,38.86,38.89,34917
a1473430080,38.88,38.9,38.8601,38.89,31052
a1473430200,38.905,38.91,38.88,38.88,24532
a1473430320,38.9,38.95,38.895,38.91,23820
a1473430440,38.89,38.91,38.875,38.9,33934
a1473430560,38.93,38.95,38.89,38.89,24351
a1473430680,38.91,38.97,38.91,38.935,63689
a1473430800,38.87,38.92,38.84,38.92,127098
a1473430920,38.89,38.91,38.87,38.875,15774
a1473431040,38.91,38.91,38.89,38.894,16418
a1473431160,38.885,38.92,38.87,38.92,18795
a1473431280,38.96,38.98,38.89,38.89,29739
a1473431400,38.91,38.97,38.91,38.97,29223
a1473431520,38.88,38.91,38.86,38.91,54328
a1473431640,38.89,38.89,38.85,38.88,25259
a1473431760,38.87,38.9,38.85,38.88,23576
a1473431880,38.79,38.87,38.79,38.8648,77475
a1473432000,38.79,38.805,38.75,38.7976,42723
a1473432120,38.83,38.83,38.7902,38.8,25201
a1473432240,38.82,38.86,38.82,38.83,32234
a1473432360,38.785,38.83,38.785,38.82,34066
a1473432480,38.72,38.79,38.72,38.79,26344
a1473432600,38.7,38.74,38.68,38.71,53305
a1473432720,38.705,38.715,38.67,38.7048,29771
a1473432840,38.705,38.72,38.69,38.71,22905
a1473432960,38.71,38.72,38.7,38.71,28372
a1473433080,38.745,38.75,38.69,38.71,80226
a1473433200,38.765,38.785,38.74,38.75,32911
a1473433320,38.745,38.79,38.74,38.77,32227
a1473433440,38.695,38.75,38.69,38.75,40979
a1473433560,38.7,38.7,38.68,38.69,24253
a1473433680,38.71,38.72,38.69,38.69,17996
a1473433800,38.775,38.78,38.7,38.715,42930
a1473433920,38.77,38.785,38.75,38.78,17733
a1473434040,38.77,38.7877,38.7435,38.77,19665
a1473434160,38.76,38.81,38.745,38.78,36500
a1473434280,38.78,38.78,38.756,38.756,6145
a1473434400,38.735,38.78,38.735,38.78,19057
a1473434520,38.735,38.75,38.6999,38.73,25938
a1473434640,38.72,38.735,38.72,38.73,6024
a1473434760,38.715,38.74,38.69,38.73,46660
a1473434880,38.72,38.72,38.7,38.716,11415
a1473435000,38.725,38.735,38.7,38.72,25060
a1473435120,38.75,38.75,38.72,38.73,11554
