https://www.google.com/finance/getprices?i=179&p=100d&f=d,o,h,l,c,v&df=cpct&q=LUV

EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=179
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1473427800,38.67,38.68,38.67,38.68,72129
a1473427920,38.6789,38.68,38.51,38.66,19517
a1473428040,38.6,38.69,38.57,38.68,29851
a1473428160,38.585,38.63,38.55,38.6,34658
a1473428280,38.48,38.57,38.48,38.57,45333
a1473428400,38.43,38.49,38.35,38.49,52101
a1473428520,38.43,38.5,38.41,38.43,55944
a1473428640,38.35,38.45,38.3,38.4201,69455
a1473428760,38.38,38.4,38.23,38.345,112154
a1473428880,38.32,38.38,38.29,38.37,67204
a1473429000,38.26,38.3165,38.25,38.3165,91267
a1473429120,38.23,38.27,38.22,38.25,99385
a1473429240,38.16,38.22,38.15,38.22,129274
a1473429360,38.09,38.165,38.07,38.151,82162
a1473429480,38.04,38.11,38.04,38.09,56936
a1473429600,38.08,38.1,38.03,38.035,55346
a1473429720,38.06,38.12,38.05,38.085,87341
a1473429840,38.03,38.08,38.02,38.07,44056
a1473429960,38.04,38.05,38.015,38.02,46612
a1473430080,38.021,38.04,38.01,38.0305,48147
a1473430200,38.03,38.03,38.01,38.02,36319
a1473430320,38.05,38.06,38.025,38.03,32083
a1473430440,38.02,38.055,38.02,38.05,26847
a1473430560,38.04,38.04,38.01,38.025,60042
a1473430680,38.14,38.14,38.04,38.04,50653
a1473430800,38.12,38.16,38.1,38.15,48092
a1473430920,38.09,38.13,38.09,38.13,11287
a1473431040,38.0879,38.095,38.0741,38.09,19084
a1473431160,38.09,38.095,38.065,38.08,20220
a1473431280,38.12,38.13,38.09,38.09,41238
a1473431400,38.08,38.13,38.08,38.1253,18628
a1473431520,38.06,38.09,38.04,38.09,20757
a1473431640,38.065,38.07,38.031,38.07,49059
a1473431760,38.0375,38.08,38.03,38.065,26158
a1473431880,37.94,38.05,37.93,38.05,63595
a1473432000,37.935,37.969,37.9201,37.94,35624
a1473432120,37.9499,37.96,37.925,37.95,40933
a1473432240,37.985,37.995,37.95,37.95,32512
a1473432360,37.975,38.01,37.975,37.98,34729
a1473432480,37.88,37.975,37.88,37.975,61496
a1473432600,37.859,37.89,37.85,37.8841,33088
a1473432720,37.855,37.87,37.85,37.86,15255
a1473432840,37.86,37.875,37.85,37.86,28449
a1473432960,37.855,37.88,37.8535,37.855,17312
a1473433080,37.87,37.88,37.84,37.859,27812
a1473433200,37.895,37.9,37.87,37.87,44070
a1473433320,37.89,37.91,37.88,37.9,19887
a1473433440,37.82,37.888,37.82,37.888,35439
a1473433560,37.82,37.83,37.8,37.815,39622
a1473433680,37.8501,37.86,37.815,37.82,14582
a1473433800,38.02,38.045,37.8425,37.85,140995
a1473433920,38.02,38.03,38.01,38.025,38963
a1473434040,38.072,38.08,38,38.02,59428
a1473434160,38.015,38.1,38.01,38.07,24653
a1473434280,38,38.02,37.99,38.02,9259
a1473434400,38,38.01,37.99,38,16888
a1473434520,38,38.005,37.965,37.99,25057
a1473434640,37.955,37.995,37.955,37.995,9077
a1473434760,37.97,37.97,37.94,37.96,14800
a1473434880,37.96,37.98,37.935,37.96,29702
a1473435000,37.9617,37.975,37.95,37.96,16983
a1473435120,37.97,37.98,37.96,37.97,15645
