https://www.google.com/finance/getprices?i=179&p=100d&f=d,o,h,l,c,v&df=cpct&q=UAL

EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=179
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1473427800,53.82,53.99,53.82,53.99,30703
a1473427920,54.0525,54.11,53.74,53.77,16345
a1473428040,53.81,54.06,53.69,54.05,24210
a1473428160,53.93,53.949,53.81,53.81,15426
a1473428280,53.98,54.06,53.87,53.89,56263
a1473428400,53.97,53.99,53.88,53.97,28480
a1473428520,53.94,54.02,53.92,53.98,52182
a1473428640,53.97,54,53.92,53.94,17840
a1473428760,53.96,54,53.865,54,20938
a1473428880,53.91,53.99,53.855,53.99,16925
a1473429000,53.86,53.94,53.86,53.93,21295
a1473429120,53.84,53.88,53.78,53.8798,46439
a1473429240,53.75,53.84,53.73,53.83,17642
a1473429360,53.71,53.83,53.67,53.77,39025
a1473429480,53.66,53.76,53.66,53.73,27167
a1473429600,53.74,53.79,53.655,53.66,29777
a1473429720,53.73,53.77,53.68,53.725,29452
a1473429840,53.69,53.76,53.68,53.7298,19550
a1473429960,53.6601,53.69,53.65,53.69,11634
a1473430080,53.65,53.67,53.6,53.665,25760
a1473430200,53.69,53.715,53.63,53.65,13387
a1473430320,53.66,53.7,53.63,53.69,26641
a1473430440,53.59,53.65,53.55,53.65,18232
a1473430560,53.69,53.735,53.585,53.59,15158
a1473430680,53.71,53.76,53.6935,53.6935,13386
a1473430800,53.66,53.72,53.63,53.72,19715
a1473430920,53.68,53.69,53.66,53.67,10188
a1473431040,53.72,53.72,53.68,53.6899,10220
a1473431160,53.68,53.72,53.66,53.71,12404
a1473431280,53.78,53.815,53.68,53.68,19725
a1473431400,53.735,53.81,53.735,53.78,14056
a1473431520,53.63,53.75,53.6199,53.73,25671
a1473431640,53.64,53.66,53.59,53.62,10973
a1473431760,53.5935,53.66,53.59,53.64,7400
a1473431880,53.57,53.62,53.57,53.6,25826
a1473432000,53.52,53.59,53.5,53.58,15071
a1473432120,53.54,53.55,53.52,53.52,13939
a1473432240,53.51,53.56,53.5,53.55,10529
a1473432360,53.44,53.51,53.435,53.51,12967
a1473432480,53.39,53.44,53.37,53.44,23932
a1473432600,53.32,53.39,53.305,53.39,22610
a1473432720,53.34,53.37,53.321,53.33,11539
a1473432840,53.34,53.35,53.31,53.35,18254
a1473432960,53.34,53.37,53.33,53.335,15013
a1473433080,53.38,53.38,53.33,53.34,19327
a1473433200,53.4,53.41,53.37,53.3848,11980
a1473433320,53.38,53.445,53.38,53.4,8866
a1473433440,53.33,53.39,53.325,53.3873,12641
a1473433560,53.33,53.335,53.29,53.33,16009
a1473433680,53.34,53.37,53.32,53.32,7989
a1473433800,53.4434,53.45,53.315,53.34,14972
a1473433920,53.45,53.46,53.42,53.45,12215
a1473434040,53.48,53.48,53.4,53.45,17469
a1473434160,53.435,53.52,53.42,53.49,22357
a1473434280,53.5,53.5,53.43,53.43,9163
a1473434400,53.495,53.52,53.46,53.51,11819
a1473434520,53.44,53.485,53.42,53.485,22135
a1473434640,53.4,53.435,53.4,53.435,6201
a1473434760,53.3761,53.42,53.36,53.41,11513
a1473434880,53.34,53.375,53.32,53.375,8713
a1473435000,53.37,53.38,53.34,53.35,11594
a1473435120,53.4199,53.43,53.36,53.38,11440
