https://www.google.com/finance/getprices?i=179&p=100d&f=d,o,h,l,c,v&df=cpct&q=VA

EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=179
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1473427800,55.92,55.92,55.92,55.92,518
a1473427920,55.98,55.98,55.98,55.98,100
a1473428040,56.01,56.01,55.95,55.95,4200
a1473428160,55.93,56,55.93,56,200
a1473428280,55.975,56,55.975,56,555
a1473428400,55.96,56.02,55.96,55.975,800
a1473428520,55.95,55.98,55.95,55.98,200
a1473428640,55.97,55.97,55.95,55.95,200
a1473428760,56.02,56.02,55.97,55.97,614
a1473428880,55.955,55.99,55.955,55.99,500
a1473429000,55.96,55.97,55.945,55.95,1200
a1473429240,55.96,56.02,55.96,56.02,400
a1473429360,55.93,55.97,55.93,55.96,1300
a1473429480,55.94,55.94,55.93,55.94,1100
a1473429600,55.94,55.955,55.94,55.955,317
a1473429720,55.94,55.94,55.93,55.93,300
a1473429840,55.97,55.97,55.94,55.94,500
a1473429960,55.97,55.97,55.97,55.97,100
a1473430080,55.95,55.96,55.95,55.96,400
a1473430200,55.97,55.97,55.96,55.96,500
a1473430320,55.97,55.97,55.96,55.97,1000
a1473430440,55.97,55.97,55.96,55.97,300
a1473430560,55.96,55.97,55.96,55.96,500
a1473430680,55.97,55.97,55.96,55.97,300
a1473430800,55.97,55.97,55.96,55.96,400
a1473430920,55.95,55.96,55.95,55.96,1800
a1473431040,55.96,55.96,55.96,55.96,400
a1473431160,55.97,55.97,55.96,55.96,500
a1473431280,55.97,55.98,55.97,55.98,300
a1473431520,55.96,55.97,55.96,55.97,400
a1473431640,55.96,55.96,55.96,55.96,300
a1473431760,55.95,55.965,55.95,55.965,1700
a1473431880,55.94,55.94,55.94,55.94,200
a1473432000,55.94,55.94,55.93,55.93,200
a1473432120,55.93,55.93,55.93,55.93,300
a1473432240,55.93,55.94,55.93,55.94,300
a1473432360,55.93,55.93,55.93,55.93,200
a1473432480,55.93,55.93,55.93,55.93,1199
a1473432600,55.94,55.96,55.94,55.94,5100
a1473432720,55.94,55.94,55.93,55.94,3300
a1473432840,55.94,55.94,55.94,55.94,600
a1473432960,55.96,55.96,55.95,55.95,900
a1473433080,55.94,55.99,55.94,55.95,10744
a1473433320,55.935,55.94,55.935,55.935,1257
a1473433440,55.935,55.935,55.93,55.93,300
a1473433560,55.94,55.94,55.93,55.93,200
a1473433680,55.93,55.94,55.93,55.93,300
a1473433800,55.97,55.97,55.93,55.94,2000
a1473433920,55.975,55.98,55.97,55.98,500
a1473434040,55.98,55.98,55.97,55.98,700
a1473434160,55.98,55.99,55.975,55.98,2400
a1473434280,55.98,55.98,55.98,55.98,500
a1473434400,55.96,55.98,55.95,55.98,4500
a1473434520,55.95,55.96,55.95,55.96,1600
a1473434640,55.95,55.95,55.95,55.95,100
a1473434760,55.95,55.95,55.95,55.95,2100
a1473434880,55.96,55.96,55.96,55.96,100
a1473435000,55.955,55.96,55.955,55.96,1600
a1473435120,55.96,55.96,55.96,55.96,300
a1473435240,55.95,55.955,55.95,55.955,500
a1473435360,55.95,55.95,55.95,55.95,100
a1473435480,55.95,55.95,55.95,55.95,1100
a1473435600,55.94,55.95,55.94,55.95,500
a1473435720,55.95,55.95,55.95,55.95,100
a1473435840,55.94,55.95,55.94,55.95,200
a1473436080,55.94,55.94,55.94,55.94,200
a1473436200,55.95,55.95,55.95,55.95,400
a1473436320,55.96,55.96,55.95,55.95,1300
a1473436440,55.95,55.96,55.95,55.96,1200
a1473436560,55.96,55.96,55.96,55.96,500
a1473436680,55.94,55.96,55.94,55.96,1200
a1473436920,55.97,55.97,55.93,55.94,11900
a1473437040,55.94,55.96,55.93,55.96,4200
a1473437160,55.96,55.96,55.94,55.94,3500
a1473437280,55.96,55.96,55.95,55.95,300
a1473437400,55.96,55.96,55.95,55.95,1400
a1473437520,55.97,55.97,55.96,55.96,1200
a1473437640,55.96,55.96,55.96,55.96,700
a1473437760,55.95,55.95,55.94,55.95,2000
a1473437880,55.94,55.95,55.94,55.95,300
a1473438000,55.94,55.94,55.94,55.94,200
a1473438120,55.96,55.96,55.95,55.95,500
a1473438240,55.96,55.97,55.96,55.97,1000
a1473438360,55.96,55.99,55.96,55.965,6100
a1473438480,55.96,55.96,55.95,55.955,1300
a1473438600,55.97,55.97,55.955,55.955,3100
a1473438720,55.9601,55.9601,55.96,55.96,1200
a1473438840,55.93,55.96,55.93,55.96,29400
a1473438960,55.945,55.955,55.935,55.935,2900
a1473439080,55.95,55.96,55.95,55.96,24600
a1473439200,55.95,55.955,55.95,55.95,4400
a1473439320,55.945,55.95,55.94,55.95,14000
a1473439440,55.95,55.965,55.94,55.94,23500
a1473439560,55.96,55.96,55.95,55.96,6700
a1473439680,55.955,55.96,55.95,55.96,16100
a1473439800,55.96,55.96,55.96,55.96,600
a1473439920,55.955,55.955,55.955,55.955,200
a1473440040,55.96,55.97,55.95,55.96,18334
a1473440160,55.95,55.96,55.95,55.96,2000
a1473440280,55.955,55.96,55.95,55.95,2900
a1473440400,55.94,55.965,55.93,55.95,44340
a1473440520,55.94,55.95,55.93,55.93,5000
a1473440640,55.94,55.94,55.94,55.94,3600
a1473440760,55.94,55.94,55.94,55.94,400
a1473440880,55.94,55.94,55.94,55.94,500
a1473441000,55.94,55.95,55.94,55.94,900
a1473441240,55.94,55.94,55.94,55.94,1800
a1473441360,55.94,55.94,55.94,55.94,300
a1473441600,55.93,55.94,55.93,55.94,1800
a1473441720,55.94,55.94,55.94,55.94,700
a1473441960,55.94,55.94,55.94,55.94,1300
a1473442200,55.95,55.95,55.94,55.94,200
a1473442320,55.945,55.945,55.945,55.945,600
a1473442440,55.945,55.95,55.945,55.945,500
a1473442560,55.945,55.945,55.945,55.945,100
a1473442680,55.94,55.945,55.94,55.945,1300
a1473442800,55.94,55.95,55.94,55.95,400
a1473442920,55.95,55.95,55.94,55.94,800
a1473443040,55.94,55.95,55.94,55.95,500
a1473443160,55.945,55.95,55.945,55.95,200
a1473443280,55.94,55.95,55.94,55.94,1700
a1473443400,55.93,55.94,55.93,55.94,3300
a1473443520,55.93,55.93,55.93,55.93,800
a1473443640,55.94,55.94,55.93,55.93,500
a1473443760,55.93,55.94,55.93,55.94,1100
a1473443880,55.95,55.95,55.93,55.93,3900
a1473444000,55.95,55.955,55.95,55.95,400
a1473444120,55.95,55.955,55.95,55.955,300
a1473444240,55.955,55.96,55.955,55.955,1600
a1473444360,55.95,55.965,55.95,55.96,10374
a1473444480,55.95,55.96,55.95,55.95,500
a1473444600,55.95,55.95,55.95,55.95,100
a1473444720,55.95,55.95,55.95,55.95,1400
a1473444840,55.95,55.95,55.95,55.95,500
a1473445080,55.95,55.96,55.95,55.96,650
a1473445200,55.96,55.96,55.95,55.95,3300
a1473445320,55.95,55.95,55.95,55.95,100
a1473445440,55.96,55.96,55.96,55.96,200
a1473445560,55.96,55.96,55.955,55.955,700
a1473445680,55.95,55.96,55.95,55.955,500
