"date","close","volume","open","high","low"

"2016/11/18","48.9000","8250279.0000","48.8000","48.9800","48.2500"
"2016/11/17","48.5100","8565422.0000","47.4100","48.5300","47.2100"
"2016/11/16","47.3800","6886213.0000","47.5900","47.7400","47.1600"
"2016/11/15","47.6500","14150920.0000","49.0200","49.2400","47.0000"
"2016/11/14","47.4700","11927120.0000","46.6200","47.4800","46.6056"
"2016/11/11","46.3800","10272530.0000","45.7500","46.9500","45.2650"
"2016/11/10","45.9500","20758670.0000","45.4200","46.1300","44.9700"
"2016/11/09","45.2500","13289640.0000","43.7000","45.4900","43.5700"
"2016/11/08","44.5300","9731132.0000","43.6300","44.6350","43.1300"
"2016/11/07","44.2100","11534500.0000","43.4000","44.6125","43.0300"
"2016/11/04","42.8800","10811080.0000","41.8050","43.2400","41.7500"
"2016/11/03","41.9200","8142637.0000","42.0600","42.5700","41.7700"
"2016/11/02","41.9300","10360480.0000","41.8400","42.3700","41.7200"
"2016/11/01","41.8800","10889110.0000","41.8400","42.4800","41.5500"
"2016/10/31","41.7700","8696239.0000","41.7200","41.8200","41.1250"
"2016/10/28","41.3400","8474658.0000","41.3900","41.8800","41.0000"
"2016/10/27","41.4700","9545478.0000","41.6200","42.2500","40.9200"
"2016/10/26","41.4000","14174650.0000","40.1500","42.4100","40.0500"
"2016/10/25","41.2100","8695441.0000","41.2000","41.8900","40.9500"
"2016/10/24","41.3700","8713816.0000","41.3900","41.7500","41.1500"
"2016/10/21","41.1700","9048386.0000","41.0800","41.3050","40.6600"
"2016/10/20","41.4600","14605680.0000","40.8200","41.5400","40.7300"
"2016/10/19","40.9000","13804730.0000","39.5500","40.9200","39.1900"
"2016/10/18","39.4600","13433200.0000","39.3900","40.2700","39.0500"
"2016/10/17","39.3500","10535120.0000","39.7400","40.4900","39.2600"
"2016/10/14","40.0400","12132840.0000","40.4500","40.7500","39.8200"
"2016/10/13","40.0100","24270040.0000","38.5300","40.8800","37.9100"
"2016/10/12","39.2700","11111210.0000","39.0100","39.5000","38.5600"
"2016/10/11","38.9400","12160000.0000","40.2500","40.2600","38.7900"
"2016/10/10","39.7700","7910225.0000","39.2100","39.9500","39.1900"
"2016/10/07","38.9500","10705390.0000","39.8700","39.9300","38.8000"
"2016/10/06","39.9400","9184190.0000","40.2600","40.3800","39.7500"
"2016/10/05","40.3200","7406656.0000","40.1600","40.4750","40.0500"
"2016/10/04","40.1500","12479180.0000","41.2500","41.3800","40.1000"
"2016/10/03","39.9800","11629570.0000","39.2500","40.0450","39.2100"
"2016/09/30","39.3600","8888467.0000","39.1500","39.6000","38.9300"
"2016/09/29","39.0300","7178051.0000","39.0600","39.6800","39.0200"
"2016/09/28","39.2300","10552380.0000","39.3000","40.2300","39.1100"
"2016/09/27","39.2100","9596557.0000","38.0000","39.2500","37.9800"
