"date","close","volume","open","high","low"

"2016/11/18","47.0600","6782200.0000","46.9100","47.2500","46.6800"
"2016/11/17","46.6900","5914771.0000","45.6900","46.7399","45.3500"
"2016/11/16","45.8500","6501816.0000","46.0400","46.3400","45.4500"
"2016/11/15","46.2500","9920584.0000","46.5500","47.3000","45.6800"
"2016/11/14","45.3500","11108980.0000","43.9000","45.4500","43.8800"
"2016/11/11","43.8400","7907307.0000","43.5000","43.8500","42.9900"
"2016/11/10","43.6400","10325630.0000","42.6400","43.8500","42.5800"
"2016/11/09","42.3700","8472549.0000","40.8000","42.4560","40.7500"
"2016/11/08","41.9300","8781663.0000","41.5700","42.0000","41.2200"
"2016/11/07","41.5700","7740687.0000","41.0000","41.5700","40.7050"
"2016/11/04","40.3800","7293230.0000","39.6900","40.9300","39.5550"
"2016/11/03","39.7000","5187052.0000","39.8200","40.3850","39.5100"
"2016/11/02","39.6100","6691512.0000","39.5700","40.0950","39.4300"
"2016/11/01","39.6800","8004071.0000","39.9800","40.4200","39.3300"
"2016/10/31","40.0500","8146499.0000","39.4900","40.4700","39.1500"
"2016/10/28","39.1800","10321180.0000","39.2900","39.8350","38.9500"
"2016/10/27","39.2400","22000990.0000","38.5000","39.5800","37.6500"
"2016/10/26","38.4000","43817050.0000","37.7000","39.8000","36.9100"
"2016/10/25","41.9500","11099230.0000","42.1500","42.7250","41.7100"
"2016/10/24","42.3300","5310493.0000","42.5200","42.9300","42.2000"
"2016/10/21","42.4300","5448008.0000","41.9100","42.4600","41.7500"
"2016/10/20","42.2900","7813329.0000","42.1500","42.4700","41.7600"
"2016/10/19","42.2500","6334448.0000","41.7400","42.4000","41.5700"
"2016/10/18","41.6800","8755644.0000","41.5600","41.9850","41.1900"
"2016/10/17","41.2400","5509692.0000","41.4000","42.2000","41.1600"
"2016/10/14","41.3200","7296827.0000","41.6000","42.4100","41.1145"
"2016/10/13","41.3800","11105580.0000","39.6800","41.6200","39.1250"
"2016/10/12","40.0100","6634555.0000","40.1500","40.3800","39.7300"
"2016/10/11","39.7900","9126157.0000","40.0300","40.3300","39.5100"
"2016/10/10","39.7700","7587830.0000","38.5000","39.9500","38.4600"
"2016/10/07","38.4700","6932813.0000","39.1400","39.2000","38.1810"
"2016/10/06","39.1700","4816669.0000","39.0500","39.3200","38.6900"
"2016/10/05","39.1000","4221671.0000","39.0200","39.4150","38.8300"
"2016/10/04","39.1600","10682190.0000","40.3200","40.4900","39.0900"
"2016/10/03","39.7400","8642943.0000","38.8500","39.7450","38.7000"
"2016/09/30","38.8900","9364166.0000","38.2700","39.1800","38.0300"
"2016/09/29","38.1500","5534702.0000","38.0200","38.5400","37.9500"
"2016/09/28","38.0700","7120961.0000","38.5300","38.9500","37.9500"
"2016/09/27","38.5400","10036760.0000","36.7800","38.5700","36.7800"
"2016/09/26","36.8700","5718693.0000","36.9700","37.1600","36.6100"
"2016/09/23","37.2400","4628192.0000","37.2500","37.3900","36.7650"
"2016/09/22","37.3300","6558098.0000","37.0900","37.6700","36.9200"
"2016/09/21","36.9100","4971083.0000","36.8000","37.0550","36.3100"
"2016/09/20","36.8200","3311974.0000","36.7900","37.2000","36.6300"
"2016/09/19","36.7000","5395172.0000","36.7100","37.1800","36.5900"
"2016/09/16","36.5900","6266942.0000","36.9000","36.9000","36.5100"
"2016/09/15","36.9900","4473529.0000","36.8100","37.1200","36.4500"
"2016/09/14","36.8400","5071733.0000","37.1400","37.4100","36.6500"
"2016/09/13","37.1400","6748832.0000","37.7300","38.0900","37.0100"
"2016/09/12","37.8200","5192805.0000","36.9350","37.9310","36.6400"
"2016/09/09","37.3400","9007833.0000","38.6800","38.6900","37.1800"
"2016/09/08","38.7600","7353389.0000","38.5400","39.0600","38.4304"
"2016/09/07","38.6800","11626810.0000","37.3200","38.8400","37.2800"
"2016/09/06","36.9500","6383245.0000","36.8900","37.0700","36.5600"
