"date","close","volume","open","high","low"

"2016/11/18","68.2900","4959659.0000","68.0500","68.4700","67.2400"
"2016/11/17","67.8600","4908832.0000","65.6200","68.0200","65.5100"
"2016/11/16","65.5000","4938345.0000","65.7500","66.6600","64.9000"
"2016/11/15","66.0600","10421990.0000","65.4700","67.7000","63.4700"
"2016/11/14","62.9400","6659847.0000","60.5400","62.9400","60.3700"
"2016/11/11","60.2500","5149634.0000","59.8500","60.5800","58.7800"
"2016/11/10","59.9400","5715735.0000","60.4300","61.6000","59.7850"
"2016/11/09","60.1300","5343580.0000","58.2400","60.3600","57.8000"
"2016/11/08","59.3100","4078058.0000","58.5200","59.4500","57.8400"
"2016/11/07","58.5300","4494724.0000","57.9600","58.7650","57.5500"
"2016/11/04","57.2300","5021160.0000","56.0100","57.6900","55.7500"
"2016/11/03","55.9400","3697575.0000","56.6600","57.2400","55.7900"
"2016/11/02","56.1400","3957879.0000","55.9500","56.8600","55.7600"
"2016/11/01","56.0000","4709875.0000","56.2500","56.9700","55.5300"
"2016/10/31","56.2300","5329478.0000","55.6200","56.2500","54.9700"
"2016/10/28","55.1100","5086581.0000","54.5900","55.4450","54.3800"
"2016/10/27","54.4200","4901008.0000","54.3000","55.2000","53.5900"
"2016/10/26","53.9800","6115410.0000","53.1100","55.3400","52.2100"
"2016/10/25","54.6300","3150778.0000","54.9300","55.8900","54.5410"
"2016/10/24","55.0400","2875397.0000","55.9100","56.2500","54.9500"
"2016/10/21","55.6000","3935877.0000","56.2100","56.5800","55.1700"
"2016/10/20","56.5700","9569480.0000","55.2900","56.8100","55.1100"
"2016/10/19","55.4400","7537162.0000","53.9900","55.4900","53.7500"
"2016/10/18","53.6800","11297320.0000","52.5400","55.0100","52.4400"
"2016/10/17","53.0300","6397186.0000","53.4500","54.5300","52.9300"
"2016/10/14","53.2000","7416223.0000","54.1600","54.5700","52.9800"
"2016/10/13","53.6900","8065383.0000","52.0500","54.0300","51.3400"
"2016/10/12","52.8800","5332508.0000","53.7600","54.0700","52.3300"
"2016/10/11","53.5200","5937679.0000","54.8100","54.9400","53.1800"
"2016/10/10","54.2000","3989939.0000","53.0600","54.5000","53.0600"
"2016/10/07","52.8200","2577559.0000","53.7900","54.0000","52.6700"
